LECROYWS42Xs,24809,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,18-Feb-2003 22:14:49,0                 
Time,Ampl
-2.0000455,-0.351986
-1.9998455,-0.415984
-1.9996455,-0.415984
-1.9994455,-0.415984
-1.9992455,-0.383985
-1.9990455,-0.415984
-1.9988455,-0.383985
-1.9986455,-0.351986
-1.9984455,-0.415984
-1.9982455,-0.383985
-1.9980455,-0.415984
-1.9978455,-0.383985
-1.9976455,-0.383985
-1.9974455,-0.415984
-1.9972455,-0.447983
-1.9970455,-0.415984
-1.9968455,-0.351986
-1.9966455,-0.447983
-1.9964455,-0.447983
-1.9962455,-0.415984
-1.9960455,-0.447983
-1.9958455,-0.383985
-1.9956455,-0.415984
-1.9954455,-0.415984
-1.9952455,-0.415984
-1.9950455,-0.383985
-1.9948455,-0.415984
-1.9946455,-0.415984
-1.9944455,-0.383985
-1.9942455,-0.415984
-1.9940455,-0.415984
-1.9938455,-0.383985
-1.9936455,-0.415984
-1.9934455,-0.415984
-1.9932455,-0.383985
-1.9930455,-0.383985
-1.9928455,-0.383985
-1.9926455,-0.383985
-1.9924455,-0.415984
-1.9922455,-0.383985
-1.9920455,-0.351986
-1.9918455,-0.383985
-1.9916455,-0.351986
-1.9914455,-0.383985
-1.9912455,-0.383985
-1.9910455,-0.415984
-1.9908455,-0.415984
-1.9906455,-0.415984
-1.9904455,-0.383985
-1.9902455,-0.383985
-1.9900455,-0.447983
-1.9898455,-0.383985
-1.9896455,-0.351986
-1.9894455,-0.383985
-1.9892455,-0.351986
-1.9890455,-0.383985
-1.9888455,-0.415984
-1.9886455,-0.383985
-1.9884455,-0.415984
-1.9882455,-0.383985
-1.9880455,-0.383985
-1.9878455,-0.351986
-1.9876455,-0.319988
-1.9874455,-0.415984
-1.9872455,-0.383985
-1.9870455,-0.319988
-1.9868455,-0.415984
-1.9866455,-0.383985
-1.9864455,-0.383985
-1.9862455,-0.383985
-1.9860455,-0.383985
-1.9858455,-0.383985
-1.9856455,-0.415984
-1.9854455,-0.383985
-1.9852455,-0.351986
-1.9850455,-0.415984
-1.9848455,-0.383985
-1.9846455,-0.351986
-1.9844455,-0.383985
-1.9842455,-0.351986
-1.9840455,-0.351986
-1.9838455,-0.351986
-1.9836455,-0.351986
-1.9834455,-0.351986
-1.9832455,-0.319988
-1.9830455,-0.351986
-1.9828455,-0.351986
-1.9826455,-0.351986
-1.9824455,-0.383985
-1.9822455,-0.319988
-1.9820455,-0.383985
-1.9818455,-0.319988
-1.9816455,-0.319988
-1.9814455,-0.351986
-1.9812455,-0.383985
-1.9810455,-0.319988
-1.9808455,-0.319988
-1.9806455,-0.319988
-1.9804455,-0.351986
-1.9802455,-0.287989
-1.9800455,-0.319988
-1.9798455,-0.287989
-1.9796455,-0.287989
-1.9794455,-0.319988
-1.9792455,-0.287989
-1.9790455,-0.319988
-1.9788455,-0.319988
-1.9786455,-0.351986
-1.9784455,-0.351986
-1.9782455,-0.287989
-1.9780455,-0.287989
-1.9778455,-0.319988
-1.9776455,-0.319988
-1.9774455,-0.319988
-1.9772455,-0.319988
-1.9770455,-0.287989
-1.9768455,-0.351986
-1.9766455,-0.319988
