LECROYWS42Xs,24809,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,19-Feb-2003 06:14:06,0                 
Time,Ampl
-2.0001789,0.0319988
-1.9999789,0.0319988
-1.9997789,0.0319988
-1.9995789,0.0319988
-1.9993789,0.0319988
-1.9991789,0.0319988
-1.9989789,0.0319988
-1.9987789,0.0319988
-1.9985789,0
-1.9983789,0.0319988
-1.9981789,0.0319988
-1.9979789,0.0319988
-1.9977789,0.0319988
-1.9975789,0.0319988
-1.9973789,0.0319988
-1.9971789,0.0319988
-1.9969789,0.0319988
-1.9967789,0.0319988
-1.9965789,0.0319988
-1.9963789,0.0319988
-1.9961789,0.0319988
-1.9959789,0
-1.9957789,0
-1.9955789,0
-1.9953789,0
-1.9951789,0.0639975
-1.9949789,0
-1.9947789,0
-1.9945789,0.0319988
-1.9943789,-0.0319988
-1.9941789,0
-1.9939789,0.0319988
-1.9937789,0
-1.9935789,0
-1.9933789,0.0639975
-1.9931789,0
-1.9929789,0.0319988
-1.9927789,0.0319988
-1.9925789,0
-1.9923789,0.0639975
-1.9921789,0
-1.9919789,-0.0319988
-1.9917789,0
-1.9915789,0
-1.9913789,0
-1.9911789,0
-1.9909789,0
-1.9907789,0
-1.9905789,0.0319988
-1.9903789,0.0639975
-1.9901789,0
-1.9899789,0.0319988
-1.9897789,0
-1.9895789,0.0319988
-1.9893789,0
-1.9891789,0
-1.9889789,-0.0319988
-1.9887789,0.0319988
-1.9885789,0
-1.9883789,0.0319988
-1.9881789,-0.0319988
-1.9879789,0
-1.9877789,-0.0639975
-1.9875789,0
-1.9873789,0
-1.9871789,-0.0319988
-1.9869789,-0.0319988
-1.9867789,0
-1.9865789,0
-1.9863789,0.0319988
-1.9861789,-0.0319988
-1.9859789,0
-1.9857789,0
-1.9855789,0.0319988
-1.9853789,-0.0639975
-1.9851789,0.0319988
-1.9849789,-0.0319988
-1.9847789,0
-1.9845789,0.0639975
-1.9843789,0
-1.9841789,-0.0319988
-1.9839789,0
-1.9837789,0.0639975
-1.9835789,0
-1.9833789,0.0319988
-1.9831789,0.0319988
-1.9829789,-0.0319988
-1.9827789,0
-1.9825789,0.0319988
-1.9823789,0
-1.9821789,0.0319988
-1.9819789,0
-1.9817789,-0.0319988
-1.9815789,0
-1.9813789,0.0319988
-1.9811789,-0.0319988
-1.9809789,0
-1.9807789,0.0319988
-1.9805789,0.0319988
-1.9803789,0
-1.9801789,0
-1.9799789,0
-1.9797789,0
-1.9795789,0.0319988
-1.9793789,-0.0319988
-1.9791789,0
-1.9789789,0.0319988
-1.9787789,-0.0639975
-1.9785789,0
-1.9783789,0.0319988
-1.9781789,0
-1.9779789,0.0319988
-1.9777789,0.0319988
-1.9775789,0
-1.9773789,0.0319988
-1.9771789,0.0639975
-1.9769789,0
-1.9767789,0.0319988
-1.9765789,0.0319988
-1.9763789,0
-1.9761789,0
-1.9759789,0
-1.9757789,0
-1.9755789,0
-1.9753789,0.0319988
-1.9751789,-0.0319988
-1.9749789,0
-1.9747789,0.0319988
-1.9745789,0
-1.9743789,0.0319988
-1.9741789,0.0319988
-1.9739789,0.0319988
-1.9737789,0.0319988
-1.9735789,0.0319988
-1.9733789,0
-1.9731789,0.0319988
-1.9729789,0.0319988
-1.9727789,0
-1.9725789,0.0639975
-1.9723789,0.0319988
-1.9721789,0.0319988
-1.9719789,0.0319988
-1.9717789,0
-1.9715789,0
-1.9713789,0.0319988
-1.9711789,0.0319988
-1.9709789,0
-1.9707789,0
-1.9705789,0.0319988
-1.9703789,0
-1.9701789,0.0319988
-1.9699789,0
-1.9697789,0
-1.9695789,0.0319988
-1.9693789,0.0319988
-1.9691789,0.0319988
-1.9689789,0
-1.9687789,0.0319988
-1.9685789,0.0319988
-1.9683789,0.0639975
-1.9681789,0.0319988
-1.9679789,0.0319988
-1.9677789,0.0319988
-1.9675789,0
-1.9673789,0
-1.9671789,0.0319988
-1.9669789,0.0639975
-1.9667789,0.0319988
-1.9665789,0.0319988
-1.9663789,0.0319988
-1.9661789,0.0319988
-1.9659789,0.0319988
-1.9657789,0.0639975
-1.9655789,0.0319988
-1.9653789,0.0319988
-1.9651789,0.0639975
-1.9649789,0
-1.9647789,0.0319988
-1.9645789,0
-1.9643789,0
-1.9641789,0
-1.9639789,0.0639975
-1.9637789,-0.0319988
-1.9635789,0.0319988
-1.9633789,0.0319988
-1.9631789,0
-1.9629789,0
-1.9627789,0.0319988
-1.9625789,0
-1.9623789,0.0319988
-1.9621789,0.0639975
-1.9619789,0
-1.9617789,0.0639975
-1.9615789,0.0639975
-1.9613789,0.0639975
-1.9611789,0.0319988
-1.9609789,0
-1.9607789,0
-1.9605789,0.0639975
-1.9603789,0.0319988
-1.9601789,0.0319988
-1.9599789,0.0639975
-1.9597789,0.0639975
-1.9595789,0.0319988
-1.9593789,0.0959963
-1.9591789,0.0639975
-1.9589789,0.0319988
-1.9587789,0.0639975
-1.9585789,0.0639975
-1.9583789,0.0319988
-1.9581789,0.0639975
-1.9579789,0.0639975
-1.9577789,0.0639975
-1.9575789,0.0319988
-1.9573789,0.0639975
-1.9571789,0.0639975
-1.9569789,0.0639975
-1.9567789,0.0959963
-1.9565789,0.0319988
-1.9563789,0.0639975
-1.9561789,0.0959963
-1.9559789,0.0319988
-1.9557789,0.0959963
-1.9555789,0.0639975
-1.9553789,0.0319988
-1.9551789,0.0639975
-1.9549789,0.0959963
-1.9547789,0.0639975
-1.9545789,0.0639975
-1.9543789,0.0959963
-1.9541789,0.0639975
-1.9539789,0.0639975
-1.9537789,0.0639975
-1.9535789,0.0639975
-1.9533789,0.0959963
-1.9531789,0.0639975
-1.9529789,-0.0319988
-1.9527789,0.0959963
-1.9525789,0.0639975
-1.9523789,0.0639975
-1.9521789,0.0639975
-1.9519789,0.0639975
-1.9517789,0.0319988
-1.9515789,0.0639975
-1.9513789,0.0639975
-1.9511789,0.0319988
-1.9509789,0.0639975
-1.9507789,0.0639975
-1.9505789,0.0959963
-1.9503789,0.0959963
-1.9501789,0.0639975
-1.9499789,0.0959963
-1.9497789,0.0639975
-1.9495789,0.0959963
-1.9493789,0.0319988
-1.9491789,0.0639975
-1.9489789,0.127995
-1.9487789,0.0319988
-1.9485789,0.0639975
-1.9483789,0.0639975
-1.9481789,0.0319988
-1.9479789,0.0959963
-1.9477789,0.0959963
-1.9475789,0.0319988
-1.9473789,0.0959963
-1.9471789,0.0959963
-1.9469789,0.0639975
-1.9467789,0.0639975
-1.9465789,0.0319988
-1.9463789,0.0639975
-1.9461789,0.0319988
-1.9459789,0.0639975
-1.9457789,0.0319988
-1.9455789,0.0639975
-1.9453789,0.0639975
-1.9451789,0.0319988
-1.9449789,0.127995
-1.9447789,0.0639975
-1.9445789,0.0639975
-1.9443789,0.0319988
-1.9441789,0.0639975
-1.9439789,0.0639975
-1.9437789,0.0639975
-1.9435789,0.0639975
-1.9433789,0.0639975
-1.9431789,0.0319988
-1.9429789,0.0639975
-1.9427789,0.0319988
-1.9425789,0.0639975
-1.9423789,0.0639975
-1.9421789,0
-1.9419789,0.0319988
-1.9417789,0.0639975
-1.9415789,0.0319988
-1.9413789,0.0639975
-1.9411789,0.0959963
-1.9409789,0
-1.9407789,0.0959963
-1.9405789,0.0639975
-1.9403789,0.0319988
-1.9401789,0.0319988
-1.9399789,0.0639975
-1.9397789,0.0319988
-1.9395789,0.0639975
-1.9393789,0.0319988
-1.9391789,0
-1.9389789,0.0639975
-1.9387789,0.0639975
-1.9385789,0.0639975
-1.9383789,0.0319988
-1.9381789,0.0319988
-1.9379789,0.0319988
-1.9377789,0.0319988
-1.9375789,0.0639975
-1.9373789,0.0319988
-1.9371789,0.0319988
-1.9369789,0.0639975
-1.9367789,0.0639975
-1.9365789,0.0639975
-1.9363789,0.0319988
-1.9361789,0
-1.9359789,0.0639975
-1.9357789,0
-1.9355789,0.0319988
-1.9353789,0.0319988
-1.9351789,0.0319988
-1.9349789,0.0319988
-1.9347789,0.0319988
-1.9345789,0.0639975
-1.9343789,0
-1.9341789,0.0639975
-1.9339789,0.0639975
-1.9337789,-0.0319988
-1.9335789,0.0319988
-1.9333789,0.0319988
-1.9331789,0.0639975
-1.9329789,0.0319988
-1.9327789,0.0319988
-1.9325789,0
-1.9323789,0.0319988
-1.9321789,0.0319988
-1.9319789,0
-1.9317789,0.0319988
-1.9315789,0.0319988
-1.9313789,0.0319988
-1.9311789,0.0319988
-1.9309789,0
-1.9307789,0
-1.9305789,0.0319988
-1.9303789,0
-1.9301789,0.0639975
-1.9299789,0.0319988
-1.9297789,0.0319988
-1.9295789,0.0319988
-1.9293789,0.0319988
-1.9291789,0
-1.9289789,0
-1.9287789,0.0319988
-1.9285789,0.0639975
-1.9283789,0
-1.9281789,0
-1.9279789,0.0319988
-1.9277789,0.0319988
-1.9275789,0
-1.9273789,0.0319988
-1.9271789,-0.0319988
-1.9269789,-0.0319988
-1.9267789,0
-1.9265789,-0.0639975
-1.9263789,0
-1.9261789,0
-1.9259789,-0.0639975
-1.9257789,0
-1.9255789,0
-1.9253789,-0.0959963
-1.9251789,-0.0319988
-1.9249789,-0.0319988
