LECROYWS42Xs,24809,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,19-Feb-2003 01:58:16,0                 
Time,Ampl
-2.0001524,-0.159994
-1.9999524,-0.191993
-1.9997524,-0.127995
-1.9995524,-0.159994
-1.9993524,-0.223991
-1.9991524,-0.223991
-1.9989524,-0.127995
-1.9987524,-0.191993
-1.9985524,-0.159994
-1.9983524,-0.159994
-1.9981524,-0.159994
-1.9979524,-0.127995
-1.9977524,-0.127995
-1.9975524,-0.159994
-1.9973524,-0.159994
-1.9971524,-0.127995
-1.9969524,-0.159994
-1.9967524,-0.127995
-1.9965524,-0.127995
-1.9963524,-0.159994
-1.9961524,-0.191993
-1.9959524,-0.127995
-1.9957524,-0.223991
-1.9955524,-0.127995
-1.9953524,-0.159994
-1.9951524,-0.127995
-1.9949524,-0.127995
-1.9947524,-0.127995
-1.9945524,-0.127995
-1.9943524,-0.159994
-1.9941524,-0.127995
-1.9939524,-0.127995
-1.9937524,-0.127995
-1.9935524,-0.159994
-1.9933524,-0.159994
-1.9931524,-0.159994
-1.9929524,-0.159994
-1.9927524,-0.159994
-1.9925524,-0.127995
-1.9923524,-0.0959963
-1.9921524,-0.159994
-1.9919524,-0.159994
-1.9917524,-0.159994
-1.9915524,-0.159994
-1.9913524,-0.159994
-1.9911524,-0.127995
-1.9909524,-0.159994
-1.9907524,-0.191993
-1.9905524,-0.127995
-1.9903524,-0.159994
-1.9901524,-0.127995
-1.9899524,-0.0959963
-1.9897524,-0.127995
-1.9895524,-0.127995
-1.9893524,-0.127995
-1.9891524,-0.159994
-1.9889524,-0.0959963
-1.9887524,-0.127995
-1.9885524,-0.159994
-1.9883524,-0.159994
-1.9881524,-0.127995
-1.9879524,-0.127995
-1.9877524,-0.159994
-1.9875524,-0.0959963
-1.9873524,-0.127995
-1.9871524,-0.127995
-1.9869524,-0.0959963
-1.9867524,-0.159994
-1.9865524,-0.127995
-1.9863524,-0.0959963
-1.9861524,-0.127995
-1.9859524,-0.0959963
-1.9857524,-0.127995
-1.9855524,-0.159994
-1.9853524,-0.0959963
-1.9851524,-0.127995
-1.9849524,-0.127995
-1.9847524,-0.0959963
-1.9845524,-0.127995
-1.9843524,-0.127995
-1.9841524,-0.127995
-1.9839524,-0.127995
-1.9837524,-0.0959963
-1.9835524,-0.0959963
-1.9833524,-0.0959963
-1.9831524,-0.0959963
-1.9829524,-0.127995
-1.9827524,-0.0319988
