LECROYWS42Xs,24809,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,19-Feb-2003 06:29:10,0                 
Time,Ampl
-2.0000274,-0.0319988
-1.9998274,-0.0639975
-1.9996274,-0.0639975
-1.9994274,-0.0319988
-1.9992274,-0.0319988
-1.9990274,-0.0639975
-1.9988274,-0.0319988
-1.9986274,-0.0319988
-1.9984274,0
-1.9982274,-0.0319988
-1.9980274,-0.0639975
-1.9978274,-0.0639975
-1.9976274,0.0319988
-1.9974274,-0.0319988
-1.9972274,-0.0639975
-1.9970274,0
-1.9968274,0
-1.9966274,-0.0319988
-1.9964274,-0.0319988
-1.9962274,0.0319988
-1.9960274,-0.0319988
-1.9958274,0
-1.9956274,0
-1.9954274,-0.0319988
-1.9952274,0.0319988
-1.9950274,0
-1.9948274,0
-1.9946274,0
-1.9944274,0
-1.9942274,0
-1.9940274,-0.0319988
-1.9938274,0.0319988
-1.9936274,-0.0319988
-1.9934274,0
-1.9932274,0.0639975
-1.9930274,0.0319988
-1.9928274,0.0319988
-1.9926274,0
-1.9924274,0
-1.9922274,0
-1.9920274,0
-1.9918274,0
-1.9916274,0
-1.9914274,0
-1.9912274,0.0319988
-1.9910274,0.0639975
-1.9908274,0
-1.9906274,0.0319988
-1.9904274,0.0319988
-1.9902274,0
-1.9900274,0.0319988
-1.9898274,0
-1.9896274,0.0319988
-1.9894274,0.0319988
-1.9892274,-0.0319988
-1.9890274,0.0319988
-1.9888274,0
-1.9886274,0.0319988
-1.9884274,0.0639975
-1.9882274,0.0319988
-1.9880274,0.0639975
-1.9878274,0.0639975
-1.9876274,0.0959963
-1.9874274,0.0319988
-1.9872274,0.0639975
-1.9870274,0
-1.9868274,0.0639975
-1.9866274,0.0639975
-1.9864274,0
-1.9862274,0.0639975
-1.9860274,0.0639975
-1.9858274,0.0319988
-1.9856274,0.0319988
-1.9854274,0.0319988
-1.9852274,0
-1.9850274,0.0959963
-1.9848274,0.0639975
-1.9846274,0.0639975
-1.9844274,0.0319988
-1.9842274,0.0959963
-1.9840274,0.0319988
-1.9838274,0.0319988
-1.9836274,0.0639975
-1.9834274,0.0639975
-1.9832274,0.0319988
-1.9830274,0.0639975
-1.9828274,0.0639975
-1.9826274,0.0639975
-1.9824274,0.0639975
-1.9822274,0.0959963
-1.9820274,0.0959963
-1.9818274,0.0959963
-1.9816274,0.0639975
-1.9814274,0.0639975
-1.9812274,0.0639975
-1.9810274,0.0959963
-1.9808274,0.0639975
-1.9806274,0.0959963
-1.9804274,0.0319988
-1.9802274,0.0319988
-1.9800274,0.0959963
-1.9798274,0.0319988
-1.9796274,0.0959963
-1.9794274,0.0639975
-1.9792274,0.0639975
-1.9790274,0.0959963
-1.9788274,0.0959963
-1.9786274,0.0639975
-1.9784274,0.0959963
-1.9782274,0.0319988
-1.9780274,0.0959963
-1.9778274,0.0959963
-1.9776274,0.0639975
-1.9774274,0.0639975
-1.9772274,0.0959963
-1.9770274,0.0639975
-1.9768274,0.0639975
-1.9766274,0.127995
-1.9764274,0.0959963
-1.9762274,0.0639975
-1.9760274,0.0639975
-1.9758274,0.0959963
-1.9756274,0.0319988
-1.9754274,0.0959963
-1.9752274,0.0959963
-1.9750274,0.0639975
-1.9748274,0.0639975
-1.9746274,0.0639975
-1.9744274,0
-1.9742274,0.0639975
-1.9740274,0.0959963
-1.9738274,0.0639975
-1.9736274,0.0639975
-1.9734274,0.0639975
-1.9732274,0.0319988
-1.9730274,0.0959963
-1.9728274,0.0639975
-1.9726274,0.0639975
-1.9724274,0.0639975
-1.9722274,0.0639975
-1.9720274,0.0319988
-1.9718274,0.0639975
-1.9716274,0.0959963
-1.9714274,0.0639975
-1.9712274,0.0959963
-1.9710274,0.0639975
-1.9708274,0.0959963
-1.9706274,0.0639975
-1.9704274,0.0959963
-1.9702274,0.0639975
-1.9700274,0.0319988
-1.9698274,0.0959963
-1.9696274,0.0319988
-1.9694274,0.0639975
-1.9692274,0.0639975
-1.9690274,0.0319988
-1.9688274,0.0639975
-1.9686274,0.0959963
-1.9684274,0.127995
-1.9682274,0.0639975
-1.9680274,0.0639975
-1.9678274,0.0639975
-1.9676274,0.0639975
-1.9674274,0.0639975
-1.9672274,0.0639975
-1.9670274,0.127995
-1.9668274,0.0639975
-1.9666274,0.0639975
-1.9664274,0.0959963
-1.9662274,0.0639975
-1.9660274,0.0639975
-1.9658274,0.0639975
-1.9656274,0.0959963
-1.9654274,0.0639975
-1.9652274,0.0959963
-1.9650274,0.0959963
-1.9648274,0.0639975
-1.9646274,0.0639975
-1.9644274,0.0959963
-1.9642274,0.0639975
-1.9640274,0.0959963
-1.9638274,0.0639975
-1.9636274,0.0959963
-1.9634274,0.0959963
-1.9632274,0.0639975
-1.9630274,0.0639975
-1.9628274,0.0959963
-1.9626274,0.0959963
-1.9624274,0.0319988
-1.9622274,0.0319988
