,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,-1.9999958,-1.9998494,-1.9999133,-1.9999423,-1.9999449,-1.9998215,-1.9999334,-1.9999691,-1.9998363,-1.9999556,-1.9999172,-1.9998678,-1.9999424,-1.9999128,-1.9998269,-1.9999041,-1.9998209,-1.9999084,-1.9998555,-1.9998094,-1.9999938,-1.9999808,-1.9998915,-1.9999528,-1.9999118,-1.9999663,-1.9998631,-1.9998588,-1.9999377,-1.9998205
1,-1.9997958,-1.9996494,-1.9997133,-1.9997423,-1.9997449,-1.9996215,-1.9997334,-1.9997691,-1.9996363,-1.9997556,-1.9997172,-1.9996678,-1.9997424,-1.9997128,-1.9996269,-1.9997041,-1.9996209,-1.9997084,-1.9996555,-1.9996094,-1.9997938,-1.9997808,-1.9996915,-1.9997528,-1.9997118,-1.9997663,-1.9996631,-1.9996588,-1.9997377,-1.9996205
2,-1.9995958,-1.9994494,-1.9995133,-1.9995423,-1.9995449,-1.9994215,-1.9995334,-1.9995691,-1.9994363,-1.9995556,-1.9995172,-1.9994678,-1.9995424,-1.9995128,-1.9994269,-1.9995041,-1.9994209,-1.9995084,-1.9994555,-1.9994094,-1.9995938,-1.9995808,-1.9994915,-1.9995528,-1.9995118,-1.9995663,-1.9994631,-1.9994588,-1.9995377,-1.9994205
3,-1.9993958,-1.9992494,-1.9993133,-1.9993423,-1.9993449,-1.9992215,-1.9993334,-1.9993691,-1.9992363,-1.9993556,-1.9993172,-1.9992678,-1.9993424,-1.9993128,-1.9992269,-1.9993041,-1.9992209,-1.9993084,-1.9992555,-1.9992094,-1.9993938,-1.9993808,-1.9992915,-1.9993528,-1.9993118,-1.9993663,-1.9992631,-1.9992588,-1.9993377,-1.9992205
4,-1.9991958,-1.9990494,-1.9991133,-1.9991423,-1.9991449,-1.9990215,-1.9991334,-1.9991691,-1.9990363,-1.9991556,-1.9991172,-1.9990678,-1.9991424,-1.9991128,-1.9990269,-1.9991041,-1.9990209,-1.9991084,-1.9990555,-1.9990094,-1.9991938,-1.9991808,-1.9990915,-1.9991528,-1.9991118,-1.9991663,-1.9990631,-1.9990588,-1.9991377,-1.9990205
5,-1.9989958,-1.9988494,-1.9989133,-1.9989423,-1.9989449,-1.9988215,-1.9989334,-1.9989691,-1.9988363,-1.9989556,-1.9989172,-1.9988678,-1.9989424,-1.9989128,-1.9988269,-1.9989041,-1.9988209,-1.9989084,-1.9988555,-1.9988094,-1.9989938,-1.9989808,-1.9988915,-1.9989528,-1.9989118,-1.9989663,-1.9988631,-1.9988588,-1.9989377,-1.9988205
6,-1.9987958,-1.9986494,-1.9987133,-1.9987423,-1.9987449,-1.9986215,-1.9987334,-1.9987691,-1.9986363,-1.9987556,-1.9987172,-1.9986678,-1.9987424,-1.9987128,-1.9986269,-1.9987041,-1.9986209,-1.9987084,-1.9986555,-1.9986094,-1.9987938,-1.9987808,-1.9986915,-1.9987528,-1.9987118,-1.9987663,-1.9986631,-1.9986588,-1.9987377,-1.9986205
7,-1.9985958,-1.9984494,-1.9985133,-1.9985423,-1.9985449,-1.9984215,-1.9985334,-1.9985691,-1.9984363,-1.9985556,-1.9985172,-1.9984678,-1.9985424,-1.9985128,-1.9984269,-1.9985041,-1.9984209,-1.9985084,-1.9984555,-1.9984094,-1.9985938,-1.9985808,-1.9984915,-1.9985528,-1.9985118,-1.9985663,-1.9984631,-1.9984588,-1.9985377,-1.9984205
8,-1.9983958,-1.9982494,-1.9983133,-1.9983423,-1.9983449,-1.9982215,-1.9983334,-1.9983691,-1.9982363,-1.9983556,-1.9983172,-1.9982678,-1.9983424,-1.9983128,-1.9982269,-1.9983041,-1.9982209,-1.9983084,-1.9982555,-1.9982094,-1.9983938,-1.9983808,-1.9982915,-1.9983528,-1.9983118,-1.9983663,-1.9982631,-1.9982588,-1.9983377,-1.9982205
9,-1.9981958,-1.9980494,-1.9981133,-1.9981423,-1.9981449,-1.9980215,-1.9981334,-1.9981691,-1.9980363,-1.9981556,-1.9981172,-1.9980678,-1.9981424,-1.9981128,-1.9980269,-1.9981041,-1.9980209,-1.9981084,-1.9980555,-1.9980094,-1.9981938,-1.9981808,-1.9980915,-1.9981528,-1.9981118,-1.9981663,-1.9980631,-1.9980588,-1.9981377,-1.9980205
10,-1.9979958,-1.9978494,-1.9979133,-1.9979423,-1.9979449,-1.9978215,-1.9979334,-1.9979691,-1.9978363,-1.9979556,-1.9979172,-1.9978678,-1.9979424,-1.9979128,-1.9978269,-1.9979041,-1.9978209,-1.9979084,-1.9978555,-1.9978094,-1.9979938,-1.9979808,-1.9978915,-1.9979528,-1.9979118,-1.9979663,-1.9978631,-1.9978588,-1.9979377,-1.9978205
11,-1.9977958,-1.9976494,-1.9977133,-1.9977423,-1.9977449,-1.9976215,-1.9977334,-1.9977691,-1.9976363,-1.9977556,-1.9977172,-1.9976678,-1.9977424,-1.9977128,-1.9976269,-1.9977041,-1.9976209,-1.9977084,-1.9976555,-1.9976094,-1.9977938,-1.9977808,-1.9976915,-1.9977528,-1.9977118,-1.9977663,-1.9976631,-1.9976588,-1.9977377,-1.9976205
12,-1.9975958,-1.9974494,-1.9975133,-1.9975423,-1.9975449,-1.9974215,-1.9975334,-1.9975691,-1.9974363,-1.9975556,-1.9975172,-1.9974678,-1.9975424,-1.9975128,-1.9974269,-1.9975041,-1.9974209,-1.9975084,-1.9974555,-1.9974094,-1.9975938,-1.9975808,-1.9974915,-1.9975528,-1.9975118,-1.9975663,-1.9974631,-1.9974588,-1.9975377,-1.9974205
13,-1.9973958,-1.9972494,-1.9973133,-1.9973423,-1.9973449,-1.9972215,-1.9973334,-1.9973691,-1.9972363,-1.9973556,-1.9973172,-1.9972678,-1.9973424,-1.9973128,-1.9972269,-1.9973041,-1.9972209,-1.9973084,-1.9972555,-1.9972094,-1.9973938,-1.9973808,-1.9972915,-1.9973528,-1.9973118,-1.9973663,-1.9972631,-1.9972588,-1.9973377,-1.9972205
14,-1.9971958,-1.9970494,-1.9971133,-1.9971423,-1.9971449,-1.9970215,-1.9971334,-1.9971691,-1.9970363,-1.9971556,-1.9971172,-1.9970678,-1.9971424,-1.9971128,-1.9970269,-1.9971041,-1.9970209,-1.9971084,-1.9970555,-1.9970094,-1.9971938,-1.9971808,-1.9970915,-1.9971528,-1.9971118,-1.9971663,-1.9970631,-1.9970588,-1.9971377,-1.9970205
15,-1.9969958,-1.9968494,-1.9969133,-1.9969423,-1.9969449,-1.9968215,-1.9969334,-1.9969691,-1.9968363,-1.9969556,-1.9969172,-1.9968678,-1.9969424,-1.9969128,-1.9968269,-1.9969041,-1.9968209,-1.9969084,-1.9968555,-1.9968094,-1.9969938,-1.9969808,-1.9968915,-1.9969528,-1.9969118,-1.9969663,-1.9968631,-1.9968588,-1.9969377,-1.9968205
16,-1.9967958,-1.9966494,-1.9967133,-1.9967423,-1.9967449,-1.9966215,-1.9967334,-1.9967691,-1.9966363,-1.9967556,-1.9967172,-1.9966678,-1.9967424,-1.9967128,-1.9966269,-1.9967041,-1.9966209,-1.9967084,-1.9966555,-1.9966094,-1.9967938,-1.9967808,-1.9966915,-1.9967528,-1.9967118,-1.9967663,-1.9966631,-1.9966588,-1.9967377,-1.9966205
17,-1.9965958,-1.9964494,-1.9965133,-1.9965423,-1.9965449,-1.9964215,-1.9965334,-1.9965691,-1.9964363,-1.9965556,-1.9965172,-1.9964678,-1.9965424,-1.9965128,-1.9964269,-1.9965041,-1.9964209,-1.9965084,-1.9964555,-1.9964094,-1.9965938,-1.9965808,-1.9964915,-1.9965528,-1.9965118,-1.9965663,-1.9964631,-1.9964588,-1.9965377,-1.9964205
18,-1.9963958,-1.9962494,-1.9963133,-1.9963423,-1.9963449,-1.9962215,-1.9963334,-1.9963691,-1.9962363,-1.9963556,-1.9963172,-1.9962678,-1.9963424,-1.9963128,-1.9962269,-1.9963041,-1.9962209,-1.9963084,-1.9962555,-1.9962094,-1.9963938,-1.9963808,-1.9962915,-1.9963528,-1.9963118,-1.9963663,-1.9962631,-1.9962588,-1.9963377,-1.9962205
19,-1.9961958,-1.9960494,-1.9961133,-1.9961423,-1.9961449,-1.9960215,-1.9961334,-1.9961691,-1.9960363,-1.9961556,-1.9961172,-1.9960678,-1.9961424,-1.9961128,-1.9960269,-1.9961041,-1.9960209,-1.9961084,-1.9960555,-1.9960094,-1.9961938,-1.9961808,-1.9960915,-1.9961528,-1.9961118,-1.9961663,-1.9960631,-1.9960588,-1.9961377,-1.9960205
20,-1.9959958,-1.9958494,-1.9959133,-1.9959423,-1.9959449,-1.9958215,-1.9959334,-1.9959691,-1.9958363,-1.9959556,-1.9959172,-1.9958678,-1.9959424,-1.9959128,-1.9958269,-1.9959041,-1.9958209,-1.9959084,-1.9958555,-1.9958094,-1.9959938,-1.9959808,-1.9958915,-1.9959528,-1.9959118,-1.9959663,-1.9958631,-1.9958588,-1.9959377,-1.9958205
