LECROYWS42Xs,24809,Waveform
Segments,1,SegmentSize,25001
Segment,TrigTime,TimeSinceSegment1
#1,18-Feb-2003 01:52:45,0                 
Time,Ampl
0,2.86894
0.002,0.932144
0.004,0.893657
0.006,0.887946
0.008,0.886456
0.01,0.882235
0.012,0.883725
0.014,0.890677
0.016,0.886456
0.018,0.882235
0.02,0.889436
0.022,0.897878
0.024,0.882235
0.026,0.886456
0.028,0.883725
0.03,0.882235
0.032,0.890677
0.034,0.886456
0.036,0.897878
0.038,0.879503
0.04,0.882235
0.042,0.878014
0.044,0.892167
0.046,0.889436
0.048,0.890677
0.05,0.902099
0.052,0.895147
0.054,0.896388
0.056,0.897878
0.058,0.884966
0.06,0.887946
0.062,0.892167
0.064,0.879503
0.066,0.892167
0.068,0.892167
0.07,0.897878
0.072,0.883725
0.074,0.886456
0.076,0.880745
0.078,0.887946
0.08,0.892167
0.082,0.890677
0.084,0.896388
0.086,0.883725
0.088,0.893657
0.09,0.887946
0.092,0.893657
0.094,0.884966
0.096,0.884966
0.098,0.900609
0.1,0.895147
0.102,0.893657
0.104,0.886456
0.106,0.899368
0.108,0.897878
0.11,0.887946
0.112,0.892167
0.114,0.887946
0.116,0.906321
0.118,0.889436
0.12,0.889436
0.122,0.899368
0.124,0.896388
0.126,0.886456
0.128,0.893657
0.13,0.895147
0.132,0.892167
0.134,0.902099
0.136,0.889436
0.138,0.905079
0.14,0.890677
0.142,0.893657
0.144,0.883725
0.146,0.895147
0.148,0.893657
0.15,0.895147
0.152,0.91079
0.154,0.900609
0.156,0.890677
0.158,0.906321
0.16,0.892167
0.162,0.884966
0.164,0.90781
0.166,0.893657
0.168,0.890677
0.17,0.899368
0.172,0.880745
0.174,0.895147
0.176,0.906321
0.178,0.890677
0.18,0.915011
0.182,0.895147
0.184,0.906321
0.186,0.912032
0.188,0.890677
0.19,0.886456
0.192,0.896388
0.194,0.890677
0.196,0.893657
0.198,0.895147
0.2,0.900609
0.202,0.899368
0.204,0.905079
0.206,0.900609
0.208,0.893657
0.21,0.905079
0.212,0.913521
0.214,0.896388
0.216,0.912032
0.218,0.892167
0.22,0.895147
0.222,0.903589
0.224,0.896388
0.226,0.905079
0.228,0.899368
0.23,0.906321
0.232,0.903589
0.234,0.890677
0.236,0.900609
0.238,0.905079
0.24,0.890677
0.242,0.906321
0.244,0.899368
0.246,0.902099
0.248,0.90781
0.25,0.905079
0.252,0.912032
0.254,0.900609
0.256,0.906321
0.258,0.900609
0.26,0.890677
0.262,0.880745
0.264,0.912032
0.266,0.900609
0.268,0.906321
0.27,0.889436
0.272,0.902099
0.274,0.91079
0.276,0.900609
0.278,0.900609
0.28,0.906321
0.282,0.903589
0.284,0.903589
0.286,0.896388
0.288,0.906321
0.29,0.900609
0.292,0.9093
0.294,0.903589
0.296,0.9093
0.298,0.902099
0.3,0.915011
0.302,0.902099
0.304,0.913521
0.306,0.915011
0.308,0.902099
0.31,0.902099
0.312,0.905079
0.314,0.899368
0.316,0.912032
0.318,0.903589
0.32,0.917743
0.322,0.903589
0.324,0.916501
0.326,0.917743
0.328,0.90781
0.33,0.913521
0.332,0.912032
0.334,0.90781
0.336,0.91079
0.338,0.906321
0.34,0.912032
0.342,0.913521
0.344,0.906321
0.346,0.915011
0.348,0.906321
0.35,0.903589
0.352,0.913521
0.354,0.91079
0.356,0.919232
0.358,0.9093
0.36,0.900609
0.362,0.923454
0.364,0.905079
0.366,0.905079
0.368,0.913521
0.37,0.915011
0.372,0.90781
0.374,0.913521
0.376,0.906321
0.378,0.900609
0.38,0.906321
0.382,0.917743
0.384,0.912032
0.386,0.90781
0.388,0.897878
0.39,0.906321
0.392,0.916253
0.394,0.915011
0.396,0.90781
0.398,0.900609
0.4,0.916501
0.402,0.912032
0.404,0.919232
0.406,0.9093
0.408,0.897878
0.41,0.902099
0.412,0.916253
0.414,0.905079
0.416,0.912032
0.418,0.915011
0.42,0.9093
0.422,0.90781
0.424,0.915011
0.426,0.917743
0.428,0.916501
0.43,0.906321
0.432,0.906321
0.434,0.915011
0.436,0.921964
0.438,0.930655
0.44,0.923454
0.442,0.915011
0.444,0.919232
0.446,0.923454
0.448,0.90781
0.45,0.906321
0.452,0.915011
0.454,0.917743
0.456,0.920722
0.458,0.929165
0.46,0.920722
0.462,0.929165
0.464,0.923454
0.466,0.915011
0.468,0.913521
0.47,0.926433
0.472,0.91079
0.474,0.913521
0.476,0.926433
0.478,0.913521
0.48,0.927675
0.482,0.920722
0.484,0.926433
0.486,0.924944
0.488,0.927675
0.49,0.924944
0.492,0.917743
0.494,0.919232
0.496,0.927675
0.498,0.923454
0.5,0.917743
0.502,0.930655
0.504,0.926433
0.506,0.920722
0.508,0.927675
0.51,0.916501
0.512,0.923454
0.514,0.926433
0.516,0.930655
0.518,0.927675
0.52,0.919232
0.522,0.923454
0.524,0.923454
0.526,0.919232
0.528,0.919232
0.53,0.933386
0.532,0.924944
0.534,0.927675
0.536,0.923454
0.538,0.924944
0.54,0.930655
0.542,0.921964
0.544,0.926433
0.546,0.923454
0.548,0.930655
0.55,0.927675
0.552,0.930655
0.554,0.923454
0.556,0.934876
0.558,0.924944
0.56,0.926433
0.562,0.927675
0.564,0.927675
0.566,0.926433
0.568,0.934876
0.57,0.924944
0.572,0.934876
0.574,0.932144
0.576,0.915011
0.578,0.936366
0.58,0.940587
0.582,0.929165
0.584,0.929165
0.586,0.926433
0.588,0.927675
0.59,0.937607
0.592,0.933386
0.594,0.923454
0.596,0.917743
0.598,0.921964
0.6,0.937607
0.602,0.927675
0.604,0.930655
0.606,0.929165
0.608,0.934876
0.61,0.934876
0.612,0.936366
0.614,0.933386
0.616,0.933386
0.618,0.929165
0.62,0.929165
0.622,0.943318
0.624,0.932144
0.626,0.930655
0.628,0.936366
0.63,0.930655
0.632,0.919232
0.634,0.929165
0.636,0.927675
0.638,0.950519
0.64,0.936366
0.642,0.934876
0.644,0.932144
0.646,0.926433
0.648,0.936366
0.65,0.940587
0.652,0.936366
0.654,0.940587
0.656,0.942077
0.658,0.924944
0.66,0.923454
0.662,0.934876
0.664,0.937607
0.666,0.933386
0.668,0.929165
0.67,0.936366
0.672,0.944808
0.674,0.930655
0.676,0.939097
0.678,0.943318
0.68,0.936366
0.682,0.950519
0.684,0.936366
0.686,0.933386
0.688,0.943318
0.69,0.943318
0.692,0.946298
0.694,0.932144
0.696,0.934876
0.698,0.933386
0.7,0.939097
0.702,0.939097
0.704,0.939097
0.706,0.936366
0.708,0.943318
0.71,0.943318
0.712,0.937607
0.714,0.942077
0.716,0.939097
0.718,0.930655
0.72,0.940587
0.722,0.950519
0.724,0.933386
0.726,0.934876
0.728,0.950519
0.73,0.942077
0.732,0.936366
0.734,0.939097
0.736,0.939097
0.738,0.942077
0.74,0.946298
0.742,0.937607
0.744,0.940587
0.746,0.940587
0.748,0.940587
0.75,0.943318
0.752,0.937607
0.754,0.937607
0.756,0.939097
0.758,0.944808
0.76,0.946298
0.762,0.944808
0.764,0.934876
0.766,0.944808
0.768,0.943318
0.77,0.936366
0.772,0.939097
0.774,0.939097
0.776,0.949029
0.778,0.950519
0.78,0.942077
0.782,0.946298
0.784,0.953251
0.786,0.942077
0.788,0.946298
0.79,0.947788
0.792,0.944808
0.794,0.942077
0.796,0.942077
0.798,0.947788
0.8,0.943318
0.802,0.940587
0.804,0.950519
0.806,0.947788
0.808,0.950519
0.81,0.934876
0.812,0.952009
0.814,0.946298
0.816,0.946298
0.818,0.944808
0.82,0.953251
0.822,0.937607
0.824,0.939097
0.826,0.943318
0.828,0.947788
0.83,0.940587
0.832,0.942077
0.834,0.949029
0.836,0.953251
0.838,0.963431
0.84,0.943318
0.842,0.947788
0.844,0.95474
0.846,0.940587
0.848,0.958962
0.85,0.953251
0.852,0.937607
0.854,0.943318
0.856,0.952009
0.858,0.95623
0.86,0.953251
0.862,0.946298
0.864,0.958962
0.866,0.953251
0.868,0.943318
0.87,0.946298
0.872,0.95772
0.874,0.95474
0.876,0.963431
0.878,0.95474
0.88,0.953251
0.882,0.95623
0.884,0.964673
0.886,0.950519
0.888,0.943318
0.89,0.946298
0.892,0.95474
0.894,0.958962
0.896,0.952009
0.898,0.95623
0.9,0.953251
0.902,0.953251
0.904,0.949029
0.906,0.946298
0.908,0.95474
0.91,0.953251
0.912,0.947788
0.914,0.960451
0.916,0.95474
0.918,0.952009
0.92,0.947788
0.922,0.95772
0.924,0.950519
0.926,0.963431
0.928,0.947788
0.93,0.949029
0.932,0.953251
0.934,0.950519
0.936,0.953251
0.938,0.95772
0.94,0.958962
0.942,0.967652
0.944,0.958962
0.946,0.952009
0.948,0.95772
0.95,0.964673
0.952,0.966162
0.954,0.966162
0.956,0.950519
0.958,0.95772
0.96,0.961941
0.962,0.95474
0.964,0.960451
0.966,0.970384
0.968,0.961941
0.97,0.95772
0.972,0.967652
0.974,0.966162
0.976,0.961941
0.978,0.958962
0.98,0.964673
0.982,0.964673
0.984,0.967652
0.986,0.964673
0.988,0.966162
0.99,0.95772
0.992,0.961941
0.994,0.971874
0.996,0.968894
0.998,0.963431
1,0.958962
1.002,0.960451
1.004,0.968894
1.006,0.961941
1.008,0.944808
1.01,0.963431
1.012,0.967652
1.014,0.966162
1.016,0.973363
1.018,0.952009
1.02,0.967652
1.022,0.958962
1.024,0.958962
1.026,0.960451
1.028,0.95772
1.03,0.970384
1.032,0.963431
1.034,0.963431
1.036,0.95623
1.038,0.961941
1.04,0.966162
1.042,0.963431
1.044,0.970384
1.046,0.963431
1.048,0.960451
