LECROYWS42Xs,24809,Waveform
Segments,1,SegmentSize,25001
Segment,TrigTime,TimeSinceSegment1
#1,20-Feb-2003 02:05:12,0                 
Time,Ampl
0,0.00081693
0.002,0.00080079
0.004,0.000831828
0.006,0.000840519
0.008,0.000759819
0.01,0.00078465
0.012,0.00081693
0.014,0.00073623
0.016,0.00075237
0.018,0.000824379
0.02,0.000648081
0.022,0.000847968
0.024,0.00076851
0.026,0.00078465
0.028,0.00072009
0.03,0.000728781
0.032,0.00070395
0.034,0.000744921
0.036,0.000680361
0.038,0.000672912
0.04,0.000680361
0.042,0.00080079
0.044,0.000744921
0.046,0.000664221
0.048,0.000608352
0.05,0.000672912
0.052,0.000696501
0.054,0.000640632
0.056,0.000615801
0.058,0.000672912
0.06,0.000640632
0.062,0.000592212
0.064,0.000648081
0.066,0.000640632
0.068,0.000648081
0.07,0.000640632
0.072,0.000552483
0.074,0.000512754
0.076,0.000664221
0.078,0.000672912
0.08,0.000592212
0.082,0.000615801
0.084,0.000528894
0.086,0.000624492
0.088,0.000608352
0.09,0.000504063
0.092,0.000512754
0.094,0.000559932
0.096,0.000536343
0.098,0.000464334
0.1,0.000568623
0.102,0.000440745
0.104,0.000504063
0.106,0.000496614
0.108,0.000456885
0.11,0.000552483
0.112,0.000559932
0.114,0.000464334
0.116,0.000608352
0.118,0.000559932
0.12,0.000424605
0.122,0.000543792
0.124,0.000543792
0.126,0.000487923
0.128,0.000576072
0.13,0.000415914
0.132,0.000415914
0.134,0.000456885
0.136,0.000480474
0.138,0.000568623
0.14,0.000471783
0.142,0.000520203
0.144,0.000456885
0.146,0.000464334
0.148,0.000448194
0.15,0.000432054
0.152,0.000464334
0.154,0.000504063
0.156,0.000384876
0.158,0.000432054
0.16,0.000440745
0.162,0.000336456
0.164,0.000464334
0.166,0.000368736
0.168,0.000376185
0.17,0.000392325
0.172,0.000376185
0.174,0.000415914
0.176,0.000352596
0.178,0.000440745
0.18,0.000456885
0.182,0.000440745
0.184,0.000399774
0.186,0.000384876
0.188,0.000271896
0.19,0.000320316
0.192,0.000471783
0.194,0.000392325
0.196,0.000376185
0.198,0.000376185
0.2,0.000399774
0.202,0.000360045
0.204,0.000392325
0.206,0.000464334
0.208,0.000376185
0.21,0.000464334
0.212,0.000471783
0.214,0.000343905
0.216,0.000480474
0.218,0.000440745
0.22,0.000408465
0.222,0.000440745
0.224,0.000415914
0.226,0.000352596
0.228,0.000471783
0.23,0.000343905
0.232,0.000415914
0.234,0.000424605
0.236,0.000432054
0.238,0.000399774
0.24,0.000487923
0.242,0.000352596
0.244,0.000543792
0.246,0.000432054
0.248,0.000480474
0.25,0.000464334
0.252,0.000368736
0.254,0.000471783
0.256,0.000336456
0.258,0.000456885
0.26,0.000384876
0.262,0.000448194
0.264,0.000471783
0.266,0.000456885
0.268,0.000496614
0.27,0.000487923
0.272,0.000440745
0.274,0.000424605
0.276,0.000464334
0.278,0.000504063
0.28,0.000528894
0.282,0.000424605
0.284,0.000471783
0.286,0.000471783
0.288,0.000408465
0.29,0.000487923
0.292,0.000584763
0.294,0.000543792
0.296,0.000528894
0.298,0.000399774
0.3,0.000456885
0.302,0.000543792
0.304,0.000520203
0.306,0.000464334
0.308,0.000528894
0.31,0.000496614
0.312,0.000440745
0.314,0.000552483
0.316,0.000568623
0.318,0.000415914
0.32,0.000552483
0.322,0.000504063
0.324,0.000600903
0.326,0.000615801
0.328,0.000584763
0.33,0.000536343
0.332,0.000536343
0.334,0.000648081
0.336,0.000520203
0.338,0.000559932
0.34,0.000728781
0.342,0.000448194
0.344,0.000568623
0.346,0.000568623
0.348,0.000512754
0.35,0.000576072
0.352,0.000559932
0.354,0.000600903
0.356,0.000559932
0.358,0.000664221
0.36,0.000608352
0.362,0.000584763
0.364,0.000568623
0.366,0.00068781
0.368,0.000728781
0.37,0.000631941
0.372,0.00073623
0.374,0.000696501
0.376,0.000656772
0.378,0.000640632
0.38,0.000615801
0.382,0.000728781
0.384,0.000744921
0.386,0.000759819
0.388,0.00076851
0.39,0.000656772
0.392,0.000792099
0.394,0.00081693
0.396,0.00072009
0.398,0.000864108
0.4,0.000744921
0.402,0.00073623
0.404,0.000888939
0.406,0.000744921
0.408,0.000808239
0.41,0.000775959
0.412,0.000712641
0.414,0.000775959
0.416,0.00076851
0.418,0.00076851
0.42,0.00080079
0.422,0.000615801
0.424,0.000872799
0.426,0.00076851
0.428,0.000744921
0.43,0.000856659
0.432,0.000775959
0.434,0.00078465
0.436,0.000840519
0.438,0.00076851
0.44,0.000856659
0.442,0.000880248
0.444,0.00073623
0.446,0.000864108
0.448,0.000840519
0.45,0.00078465
0.452,0.000847968
0.454,0.00081693
0.456,0.00081693
0.458,0.000919977
0.46,0.000912528
0.462,0.00100068
0.464,0.000824379
0.466,0.000944808
0.468,0.000984537
0.47,0.00073623
0.472,0.00105655
0.474,0.000919977
0.476,0.000912528
0.478,0.00100813
0.48,0.000792099
0.482,0.00100813
0.484,0.000959706
0.486,0.000792099
0.488,0.000975846
0.49,0.000952257
0.492,0.00100068
0.494,0.000984537
0.496,0.000991986
0.498,0.00102427
0.5,0.000991986
0.502,0.000975846
0.504,0.00115214
0.506,0.00100068
0.508,0.00102427
0.51,0.00104786
0.512,0.000880248
0.514,0.00104786
0.516,0.00111986
0.518,0.000912528
0.52,0.00115214
0.522,0.00104041
0.524,0.00107269
0.526,0.00115214
0.528,0.00101682
0.53,0.00101682
0.532,0.001064
0.534,0.00110372
0.536,0.00116828
0.538,0.001136
0.54,0.00101682
0.542,0.00117573
0.544,0.000975846
0.546,0.00115214
0.548,0.00109628
0.55,0.00104041
0.552,0.0012167
0.554,0.00103172
0.556,0.00114469
0.558,0.00125643
0.56,0.00104786
0.562,0.00120801
0.564,0.001064
0.566,0.00104786
0.568,0.00123284
0.57,0.00100068
0.572,0.00104786
0.574,0.001136
0.576,0.001064
0.578,0.00118442
0.58,0.00120056
0.582,0.00116828
0.584,0.00124029
0.586,0.00110372
0.588,0.00115214
0.59,0.00124029
0.592,0.00110372
0.594,0.0013123
0.596,0.00116828
0.598,0.00118442
0.6,0.00142404
0.602,0.00110372
0.604,0.00134458
0.606,0.00137686
0.608,0.00111242
0.61,0.00129616
0.612,0.00129616
0.614,0.00118442
0.616,0.00125643
0.618,0.00136817
0.62,0.00126388
0.622,0.0014079
0.624,0.00119187
0.626,0.0014886
0.628,0.00125643
0.63,0.00126388
0.632,0.00140045
0.634,0.00120056
0.636,0.00141659
0.638,0.00135203
0.64,0.00128002
0.642,0.00133589
0.644,0.00130485
0.646,0.00120801
0.648,0.0014079
0.65,0.00125643
0.652,0.00129616
0.654,0.00141659
0.656,0.00117573
0.658,0.00156806
0.66,0.0012167
0.662,0.00116828
0.664,0.00140045
0.666,0.001136
0.668,0.0013123
0.67,0.00123284
0.672,0.00125643
0.674,0.00143273
0.676,0.00131975
0.678,0.00124774
0.68,0.00135203
0.682,0.00134458
0.684,0.00140045
0.686,0.00143273
0.688,0.00127257
0.69,0.00142404
0.692,0.0013123
0.694,0.00135203
0.696,0.00139176
0.698,0.00123284
0.7,0.00128871
0.702,0.00133589
0.704,0.00120056
0.706,0.00152088
0.708,0.00120801
0.71,0.00136072
0.712,0.00144887
0.714,0.00123284
0.716,0.00137686
0.718,0.00144018
0.72,0.00145632
0.722,0.0014079
0.724,0.00133589
0.726,0.00136072
0.728,0.00141659
0.73,0.0013123
0.732,0.00144018
0.734,0.00134458
0.736,0.00138431
0.738,0.00136817
0.74,0.0012167
0.742,0.00145632
0.744,0.00149605
0.746,0.00120056
0.748,0.00141659
0.75,0.00142404
0.752,0.00134458
0.754,0.00152088
0.756,0.00137686
0.758,0.00151219
0.76,0.00152833
0.762,0.00140045
0.764,0.00156061
0.766,0.00146377
0.768,0.00141659
0.77,0.00151219
0.772,0.00144018
0.774,0.00144887
0.776,0.00144887
0.778,0.00143273
0.78,0.00144887
0.782,0.00131975
0.784,0.00139176
0.786,0.00149605
0.788,0.00144887
0.79,0.00152833
0.792,0.00150474
0.794,0.00139176
0.796,0.00152833
0.798,0.00145632
0.8,0.00147991
0.802,0.00155192
0.804,0.00149605
0.806,0.00142404
0.808,0.00151219
0.81,0.00131975
0.812,0.00144018
0.814,0.00155192
0.816,0.00156806
0.818,0.00147991
0.82,0.00146377
0.822,0.00156061
0.824,0.00144887
0.826,0.00143273
0.828,0.0014886
0.83,0.00136072
0.832,0.00144018
0.834,0.00151219
0.836,0.00142404
0.838,0.00149605
0.84,0.00152088
0.842,0.00134458
0.844,0.00152088
0.846,0.0014079
0.848,0.00147246
0.85,0.00147246
0.852,0.00135203
0.854,0.00157675
0.856,0.00149605
0.858,0.00147991
0.86,0.00145632
0.862,0.00155192
0.864,0.00146377
