LECROYWS42Xs,24809,Waveform
Segments,1,SegmentSize,25001
Segment,TrigTime,TimeSinceSegment1
#1,21-Feb-2003 01:13:35,0                 
Time,Ampl
0,-0.106523
0.002,-0.114761
0.004,-0.114767
0.006,-0.114676
0.008,-0.11473
0.01,-0.114889
0.012,-0.11473
0.014,-0.11471
0.016,-0.114657
0.018,-0.114849
0.02,-0.114902
0.022,-0.114805
0.024,-0.11472
0.026,-0.114802
0.028,-0.114933
0.03,-0.114754
0.032,-0.114748
0.034,-0.114889
0.036,-0.114836
0.038,-0.114667
0.04,-0.114764
0.042,-0.114799
0.044,-0.114795
0.046,-0.11473
0.048,-0.114673
0.05,-0.114936
0.052,-0.114961
0.054,-0.114607
0.056,-0.114695
0.058,-0.114902
0.06,-0.115021
0.062,-0.11467
0.064,-0.114551
0.066,-0.114704
0.068,-0.114971
0.07,-0.114682
0.072,-0.114679
0.074,-0.114632
0.076,-0.114849
0.078,-0.114779
0.08,-0.114676
0.082,-0.114961
0.084,-0.114965
0.086,-0.114597
0.088,-0.114817
0.09,-0.11467
0.092,-0.11498
0.094,-0.114826
0.096,-0.114482
0.098,-0.114773
0.1,-0.114849
0.102,-0.114723
0.104,-0.114654
0.106,-0.114645
0.108,-0.114779
0.11,-0.114843
0.112,-0.11471
0.114,-0.114823
0.116,-0.114805
0.118,-0.114908
0.12,-0.114889
0.122,-0.114802
0.124,-0.114826
0.126,-0.114817
0.128,-0.114519
0.13,-0.114713
0.132,-0.114776
0.134,-0.114717
0.136,-0.114573
0.138,-0.114635
0.14,-0.114855
0.142,-0.114826
0.144,-0.114786
0.146,-0.114491
0.148,-0.114864
0.15,-0.114864
0.152,-0.114864
0.154,-0.114895
0.156,-0.114607
0.158,-0.114679
0.16,-0.114689
0.162,-0.114817
0.164,-0.11467
0.166,-0.114846
0.168,-0.114758
0.17,-0.114673
0.172,-0.114682
0.174,-0.114673
0.176,-0.114748
0.178,-0.114858
0.18,-0.114817
0.182,-0.114802
0.184,-0.114682
0.186,-0.114626
0.188,-0.114814
0.19,-0.114817
0.192,-0.11477
0.194,-0.114713
0.196,-0.114667
0.198,-0.114673
0.2,-0.114679
0.202,-0.114645
0.204,-0.114686
0.206,-0.114645
0.208,-0.114723
0.21,-0.114667
0.212,-0.114968
0.214,-0.114758
0.216,-0.114761
0.218,-0.114585
0.22,-0.11477
0.222,-0.114839
0.224,-0.114751
0.226,-0.114692
0.228,-0.114727
0.23,-0.11482
0.232,-0.114748
0.234,-0.114519
0.236,-0.114369
0.238,-0.11462
0.24,-0.114886
0.242,-0.114525
0.244,-0.11466
0.246,-0.114701
0.248,-0.114707
0.25,-0.114795
0.252,-0.11477
0.254,-0.114767
0.256,-0.114802
0.258,-0.114695
0.26,-0.11482
0.262,-0.114817
0.264,-0.114754
0.266,-0.114585
0.268,-0.114363
0.27,-0.11461
0.272,-0.114629
0.274,-0.114638
0.276,-0.114416
0.278,-0.114623
0.28,-0.114999
0.282,-0.114839
0.284,-0.11462
0.286,-0.114638
0.288,-0.114629
0.29,-0.114842
0.292,-0.114573
0.294,-0.114482
0.296,-0.114435
0.298,-0.114513
0.3,-0.114745
0.302,-0.114695
0.304,-0.114601
0.306,-0.114588
0.308,-0.114601
0.31,-0.11478
0.312,-0.114632
0.314,-0.114754
0.316,-0.114883
0.318,-0.114638
0.32,-0.114654
0.322,-0.114632
0.324,-0.114585
0.326,-0.114469
0.328,-0.11446
0.33,-0.114548
0.332,-0.114682
0.334,-0.114544
0.336,-0.114554
0.338,-0.114748
0.34,-0.11493
0.342,-0.114898
0.344,-0.114582
0.346,-0.114548
0.348,-0.114604
0.35,-0.114858
0.352,-0.114447
0.354,-0.114322
0.356,-0.114723
0.358,-0.114525
0.36,-0.114689
0.362,-0.114661
0.364,-0.114648
0.366,-0.114773
0.368,-0.114542
0.37,-0.114742
0.372,-0.114974
0.374,-0.114846
0.376,-0.11467
0.378,-0.114645
0.38,-0.114645
0.382,-0.11478
0.384,-0.114557
0.386,-0.114601
0.388,-0.114485
0.39,-0.114588
0.392,-0.114745
0.394,-0.114591
0.396,-0.114641
0.398,-0.11477
0.4,-0.114808
0.402,-0.114843
0.404,-0.114488
0.406,-0.114623
0.408,-0.114736
0.41,-0.114933
0.412,-0.114594
0.414,-0.114497
0.416,-0.11472
0.418,-0.114635
0.42,-0.114754
0.422,-0.114682
0.424,-0.114701
0.426,-0.114617
0.428,-0.114638
0.43,-0.114617
0.432,-0.11483
0.434,-0.114704
0.436,-0.114573
0.438,-0.11473
0.44,-0.114823
0.442,-0.115118
0.444,-0.114635
0.446,-0.114566
0.448,-0.114566
0.45,-0.114673
0.452,-0.11473
0.454,-0.114435
0.456,-0.114594
0.458,-0.114739
0.46,-0.114664
0.462,-0.114657
0.464,-0.114629
0.466,-0.114607
0.468,-0.114494
0.47,-0.114814
0.472,-0.114713
0.474,-0.114664
0.476,-0.114654
0.478,-0.114551
0.48,-0.114635
0.482,-0.114545
0.484,-0.114469
0.486,-0.114673
0.488,-0.114607
0.49,-0.114632
0.492,-0.114557
0.494,-0.114538
0.496,-0.114748
0.498,-0.11477
0.5,-0.114779
0.502,-0.114704
0.504,-0.114682
0.506,-0.11462
0.508,-0.114617
0.51,-0.114585
0.512,-0.114525
0.514,-0.114563
0.516,-0.114569
0.518,-0.114576
0.52,-0.114779
0.522,-0.114773
0.524,-0.114569
0.526,-0.114645
0.528,-0.114695
0.53,-0.114858
0.532,-0.114751
0.534,-0.114623
0.536,-0.114704
0.538,-0.114727
0.54,-0.114717
0.542,-0.114569
0.544,-0.114384
0.546,-0.114538
0.548,-0.114616
0.55,-0.114551
0.552,-0.114657
0.554,-0.114563
0.556,-0.114525
0.558,-0.114535
0.56,-0.114849
0.562,-0.114871
0.564,-0.114579
0.566,-0.114535
0.568,-0.114573
0.57,-0.114701
0.572,-0.114663
0.574,-0.114328
0.576,-0.114494
0.578,-0.11462
0.58,-0.114635
0.582,-0.114513
0.584,-0.114388
0.586,-0.114792
0.588,-0.114698
0.59,-0.114501
0.592,-0.114629
0.594,-0.11462
0.596,-0.114582
0.598,-0.114429
0.6,-0.114645
0.602,-0.114745
0.604,-0.114469
0.606,-0.114353
0.608,-0.114394
0.61,-0.114641
0.612,-0.114525
0.614,-0.11434
0.616,-0.114501
0.618,-0.114805
0.62,-0.11451
0.622,-0.114513
0.624,-0.114325
0.626,-0.11455
0.628,-0.114397
0.63,-0.11446
0.632,-0.114419
0.634,-0.114613
0.636,-0.114551
0.638,-0.114322
0.64,-0.114535
0.642,-0.114582
0.644,-0.114525
0.646,-0.114429
0.648,-0.114356
0.65,-0.114666
0.652,-0.114641
0.654,-0.114456
0.656,-0.114648
0.658,-0.114484
0.66,-0.114676
0.662,-0.11451
0.664,-0.114494
0.666,-0.114466
0.668,-0.114525
0.67,-0.114322
0.672,-0.114504
0.674,-0.114422
0.676,-0.114347
0.678,-0.114206
0.68,-0.114519
0.682,-0.114695
0.684,-0.114466
0.686,-0.114501
0.688,-0.11451
0.69,-0.114701
0.692,-0.114475
0.694,-0.114399
0.696,-0.114353
0.698,-0.114491
0.7,-0.114359
0.702,-0.114322
0.704,-0.114416
0.706,-0.114469
0.708,-0.114532
0.71,-0.114234
0.712,-0.114641
0.714,-0.114491
0.716,-0.114545
0.718,-0.114485
0.72,-0.114661
0.722,-0.114623
0.724,-0.114315
0.726,-0.114337
0.728,-0.114456
0.73,-0.1144
0.732,-0.114507
0.734,-0.114293
0.736,-0.114437
0.738,-0.11435
0.74,-0.114381
0.742,-0.114434
0.744,-0.1144
0.746,-0.114343
0.748,-0.114475
0.75,-0.114384
0.752,-0.114629
0.754,-0.114501
0.756,-0.114347
0.758,-0.1144
0.76,-0.114343
0.762,-0.114532
0.764,-0.11434
0.766,-0.114482
0.768,-0.114629
0.77,-0.114287
0.772,-0.114475
0.774,-0.114275
0.776,-0.114563
0.778,-0.114402
0.78,-0.114431
0.782,-0.11466
0.784,-0.114372
0.786,-0.114303
0.788,-0.11456
0.79,-0.114397
0.792,-0.114651
0.794,-0.114472
0.796,-0.114397
0.798,-0.114388
0.8,-0.114573
0.802,-0.114607
0.804,-0.114437
0.806,-0.114278
0.808,-0.114553
0.81,-0.114444
0.812,-0.114507
0.814,-0.114375
0.816,-0.114465
0.818,-0.114478
0.82,-0.114331
0.822,-0.11451
0.824,-0.11466
0.826,-0.114513
0.828,-0.114343
0.83,-0.114453
0.832,-0.114563
0.834,-0.114679
0.836,-0.114347
0.838,-0.114221
0.84,-0.114384
0.842,-0.11465
0.844,-0.114406
0.846,-0.11418
0.848,-0.114399
0.85,-0.114466
0.852,-0.114566
0.854,-0.114434
0.856,-0.114509
0.858,-0.114525
0.86,-0.11456
0.862,-0.114462
0.864,-0.114576
0.866,-0.1144
0.868,-0.114325
0.87,-0.114337
0.872,-0.114673
0.874,-0.114545
0.876,-0.114299
0.878,-0.114289
0.88,-0.114463
0.882,-0.114645
0.884,-0.11439
0.886,-0.114358
0.888,-0.114535
0.89,-0.11456
0.892,-0.114616
0.894,-0.114318
0.896,-0.114387
0.898,-0.114315
0.9,-0.114441
0.902,-0.114566
0.904,-0.114278
0.906,-0.114425
0.908,-0.114362
0.91,-0.11435
0.912,-0.114466
0.914,-0.114553
0.916,-0.114515
0.918,-0.114419
0.92,-0.114453
0.922,-0.114638
0.924,-0.114512
0.926,-0.114462
0.928,-0.11435
0.93,-0.114406
0.932,-0.114424
0.934,-0.114331
0.936,-0.114438
0.938,-0.114293
0.94,-0.114422
0.942,-0.114557
0.944,-0.114428
0.946,-0.114349
0.948,-0.114506
0.95,-0.114661
0.952,-0.114688
0.954,-0.114663
0.956,-0.114478
0.958,-0.114462
0.96,-0.11429
0.962,-0.114597
0.964,-0.114268
0.966,-0.114403
0.968,-0.114409
0.97,-0.114393
0.972,-0.114538
0.974,-0.114412
0.976,-0.114327
0.978,-0.114478
0.98,-0.114353
0.982,-0.114754
0.984,-0.114572
0.986,-0.11449
0.988,-0.114403
0.99,-0.114491
0.992,-0.114556
0.994,-0.11455
0.996,-0.114412
0.998,-0.114283
1,-0.114512
1.002,-0.114576
1.004,-0.114506
1.006,-0.114205
1.008,-0.114289
1.01,-0.114584
1.012,-0.11461
1.014,-0.11456
1.016,-0.114591
1.018,-0.114544
1.02,-0.114466
1.022,-0.114519
1.024,-0.114443
1.026,-0.114525
1.028,-0.114249
1.03,-0.114299
1.032,-0.114556
1.034,-0.114584
1.036,-0.114427
1.038,-0.114371
1.04,-0.114581
1.042,-0.114566
1.044,-0.114628
1.046,-0.114493
1.048,-0.114456
1.05,-0.1146
1.052,-0.114597
1.054,-0.114481
1.056,-0.114437
1.058,-0.114547
1.06,-0.114506
1.062,-0.114525
1.064,-0.114522
1.066,-0.114434
1.068,-0.114352
1.07,-0.114418
1.072,-0.114556
1.074,-0.114594
1.076,-0.114339
1.078,-0.114515
1.08,-0.114465
1.082,-0.114503
1.084,-0.11438
1.086,-0.114494
1.088,-0.114462
1.09,-0.1146
1.092,-0.114484
1.094,-0.114499
1.096,-0.114525
1.098,-0.114484
1.1,-0.114534
1.102,-0.114563
1.104,-0.114506
1.106,-0.114361
1.108,-0.11444
1.11,-0.114607
1.112,-0.114647
1.114,-0.114512
1.116,-0.11444
1.118,-0.114399
1.12,-0.114268
1.122,-0.114591
1.124,-0.114656
1.126,-0.114303
1.128,-0.114503
1.13,-0.114456
1.132,-0.114556
1.134,-0.114541
1.136,-0.11438
1.138,-0.114515
1.14,-0.114544
1.142,-0.114651
1.144,-0.114245
1.146,-0.114355
1.148,-0.114471
1.15,-0.114512
1.152,-0.114481
1.154,-0.114643
1.156,-0.114449
1.158,-0.114365
1.16,-0.11444
1.162,-0.114481
1.164,-0.114528
1.166,-0.114447
1.168,-0.114303
1.17,-0.11454
1.172,-0.114584
1.174,-0.114389
1.176,-0.114073
1.178,-0.114506
1.18,-0.114522
1.182,-0.114471
1.184,-0.114192
1.186,-0.114502
1.188,-0.114352
1.19,-0.11454
1.192,-0.114383
1.194,-0.114499
1.196,-0.114616
1.198,-0.114447
1.2,-0.114396
1.202,-0.114632
1.204,-0.11443
1.206,-0.114421
1.208,-0.114233
1.21,-0.114522
1.212,-0.114723
1.214,-0.114401
1.216,-0.114361
1.218,-0.114402
1.22,-0.114644
1.222,-0.114645
1.224,-0.11433
1.226,-0.114427
1.228,-0.114255
1.23,-0.114484
1.232,-0.114648
1.234,-0.114478
1.236,-0.114381
1.238,-0.114459
1.24,-0.114384
1.242,-0.114563
1.244,-0.114399
1.246,-0.114368
1.248,-0.114462
1.25,-0.114575
1.252,-0.1147
1.254,-0.114521
1.256,-0.114443
1.258,-0.114368
1.26,-0.114481
1.262,-0.114418
1.264,-0.114283
1.266,-0.114308
1.268,-0.114302
1.27,-0.114501
1.272,-0.114532
1.274,-0.114474
1.276,-0.114302
1.278,-0.114504
1.28,-0.114581
1.282,-0.114688
1.284,-0.114458
1.286,-0.114388
1.288,-0.114355
1.29,-0.114603
1.292,-0.114402
1.294,-0.114289
1.296,-0.114195
1.298,-0.11417
1.3,-0.11456
1.302,-0.114519
1.304,-0.114289
1.306,-0.11443
1.308,-0.114594
1.31,-0.114745
1.312,-0.114516
1.314,-0.114581
1.316,-0.114607
1.318,-0.114537
1.32,-0.114284
1.322,-0.11454
1.324,-0.114419
1.326,-0.114443
1.328,-0.114226
1.33,-0.114368
1.332,-0.114494
1.334,-0.114565
1.336,-0.114317
1.338,-0.114556
1.34,-0.11476
1.342,-0.114835
1.344,-0.114361
1.346,-0.114327
1.348,-0.114393
1.35,-0.114615
1.352,-0.114324
1.354,-0.114358
1.356,-0.114347
1.358,-0.114418
1.36,-0.114411
1.362,-0.114435
