LECROYWS42Xs,24809,Waveform
Segments,1,SegmentSize,25001
Segment,TrigTime,TimeSinceSegment1
#1,27-Feb-2003 22:35:18,0                 
Time,Ampl
0,-0.10992
0.002,-0.113117
0.004,-0.113183
0.006,-0.113107
0.008,-0.113314
0.01,-0.113099
0.012,-0.113111
0.014,-0.113103
0.016,-0.113283
0.018,-0.11321
0.02,-0.113181
0.022,-0.113194
0.024,-0.113126
0.026,-0.113278
0.028,-0.11317
0.03,-0.113093
0.032,-0.113154
0.034,-0.113145
0.036,-0.113236
0.038,-0.113292
0.04,-0.113187
0.042,-0.113079
0.044,-0.113215
0.046,-0.113176
0.048,-0.11324
0.05,-0.11317
0.052,-0.113142
0.054,-0.113126
0.056,-0.113219
0.058,-0.113227
0.06,-0.113189
0.062,-0.113194
0.064,-0.113248
0.066,-0.113325
0.068,-0.11323
0.07,-0.113101
0.072,-0.11293
0.074,-0.113194
0.076,-0.113256
0.078,-0.113361
0.08,-0.113328
0.082,-0.113219
0.084,-0.113016
0.086,-0.113057
0.088,-0.11314
0.09,-0.113341
0.092,-0.113266
0.094,-0.113275
0.096,-0.113256
0.098,-0.113104
0.1,-0.113195
0.102,-0.113142
0.104,-0.113286
0.106,-0.113259
0.108,-0.113261
0.11,-0.113137
0.112,-0.113088
0.114,-0.11313
0.116,-0.113223
0.118,-0.113289
0.12,-0.113118
0.122,-0.113261
0.124,-0.113027
0.126,-0.113103
0.128,-0.11317
0.13,-0.113118
0.132,-0.113126
0.134,-0.113283
0.136,-0.113239
0.138,-0.113096
0.14,-0.113143
0.142,-0.113167
0.144,-0.113219
0.146,-0.113195
0.148,-0.113244
0.15,-0.113206
0.152,-0.113258
0.154,-0.113103
0.156,-0.113181
0.158,-0.113198
0.16,-0.11322
0.162,-0.113081
0.164,-0.113272
0.166,-0.113134
0.168,-0.113203
0.17,-0.113167
0.172,-0.113098
0.174,-0.113277
0.176,-0.113225
0.178,-0.11331
0.18,-0.11317
0.182,-0.113162
0.184,-0.113159
0.186,-0.113143
0.188,-0.113341
0.19,-0.113237
0.192,-0.113156
0.194,-0.113209
0.196,-0.113222
0.198,-0.113263
0.2,-0.113167
0.202,-0.113124
0.204,-0.113147
0.206,-0.113174
0.208,-0.113339
0.21,-0.113189
0.212,-0.113147
0.214,-0.113107
0.216,-0.113154
0.218,-0.113231
0.22,-0.11313
0.222,-0.113123
0.224,-0.1133
0.226,-0.113322
0.228,-0.113233
0.23,-0.113162
0.232,-0.113098
0.234,-0.113079
0.236,-0.113247
0.238,-0.11324
0.24,-0.113236
0.242,-0.113195
0.244,-0.113159
0.246,-0.113076
0.248,-0.113333
0.25,-0.113227
0.252,-0.113153
0.254,-0.113164
0.256,-0.113049
0.258,-0.113111
0.26,-0.1132
0.262,-0.113112
0.264,-0.113203
0.266,-0.113228
0.268,-0.113147
0.27,-0.113162
0.272,-0.113121
0.274,-0.113297
0.276,-0.113222
0.278,-0.113289
0.28,-0.113186
0.282,-0.113124
0.284,-0.113109
0.286,-0.113251
0.288,-0.113244
0.29,-0.113173
0.292,-0.11313
0.294,-0.113044
0.296,-0.113104
0.298,-0.113223
0.3,-0.113132
0.302,-0.113297
0.304,-0.113194
0.306,-0.113156
0.308,-0.113145
0.31,-0.113127
0.312,-0.11314
0.314,-0.113258
0.316,-0.113206
0.318,-0.113258
0.32,-0.113207
0.322,-0.113253
0.324,-0.113076
0.326,-0.113157
0.328,-0.113181
0.33,-0.113103
0.332,-0.113281
0.334,-0.11315
0.336,-0.113307
0.338,-0.113299
0.34,-0.113067
0.342,-0.113099
0.344,-0.113132
0.346,-0.113178
0.348,-0.113297
0.35,-0.113284
0.352,-0.113145
0.354,-0.113103
0.356,-0.113266
0.358,-0.113264
0.36,-0.113121
0.362,-0.113176
0.364,-0.113098
0.366,-0.113034
0.368,-0.113114
0.37,-0.113297
0.372,-0.113242
0.374,-0.113148
0.376,-0.113088
0.378,-0.113123
0.38,-0.113186
0.382,-0.113192
0.384,-0.113137
0.386,-0.113234
0.388,-0.113171
0.39,-0.113049
0.392,-0.113267
0.394,-0.113151
0.396,-0.113198
0.398,-0.113434
0.4,-0.11321
0.402,-0.113018
0.404,-0.113011
0.406,-0.113027
0.408,-0.113179
0.41,-0.113299
0.412,-0.113118
0.414,-0.113107
0.416,-0.11314
0.418,-0.113231
0.42,-0.113011
0.422,-0.113198
0.424,-0.113214
0.426,-0.113275
0.428,-0.113198
0.43,-0.113134
0.432,-0.113007
0.434,-0.113266
0.436,-0.113111
0.438,-0.113263
0.44,-0.113179
0.442,-0.113173
0.444,-0.113153
0.446,-0.113194
0.448,-0.113143
0.45,-0.113115
0.452,-0.113233
0.454,-0.113256
0.456,-0.113142
0.458,-0.113234
0.46,-0.113076
0.462,-0.113093
0.464,-0.113081
0.466,-0.113212
0.468,-0.11321
0.47,-0.113134
0.472,-0.113236
0.474,-0.113051
0.476,-0.113057
0.478,-0.113131
0.48,-0.113168
0.482,-0.113253
0.484,-0.113032
0.486,-0.112972
0.488,-0.113162
0.49,-0.113082
0.492,-0.112951
0.494,-0.113256
0.496,-0.113219
0.498,-0.113132
0.5,-0.113191
0.502,-0.113037
0.504,-0.113063
0.506,-0.113096
0.508,-0.113174
0.51,-0.113091
0.512,-0.113147
0.514,-0.113123
0.516,-0.113071
0.518,-0.113121
0.52,-0.113109
0.522,-0.113173
0.524,-0.113197
0.526,-0.113114
0.528,-0.113037
0.53,-0.113112
0.532,-0.113159
0.534,-0.112999
0.536,-0.113019
0.538,-0.113214
0.54,-0.113104
0.542,-0.113005
0.544,-0.113138
0.546,-0.113026
0.548,-0.113093
0.55,-0.113016
0.552,-0.113184
0.554,-0.113153
0.556,-0.113156
0.558,-0.113123
0.56,-0.11305
0.562,-0.113077
0.564,-0.11313
0.566,-0.113107
0.568,-0.113206
0.57,-0.113023
0.572,-0.113118
0.574,-0.11299
0.576,-0.113074
0.578,-0.113154
0.58,-0.113254
0.582,-0.113207
0.584,-0.11304
0.586,-0.113129
0.588,-0.113085
0.59,-0.113209
0.592,-0.113065
0.594,-0.113052
0.596,-0.113164
0.598,-0.113005
0.6,-0.113023
0.602,-0.113068
0.604,-0.113084
0.606,-0.113138
0.608,-0.113115
0.61,-0.113129
0.612,-0.113037
0.614,-0.113126
0.616,-0.11304
0.618,-0.113121
0.62,-0.113067
0.622,-0.113054
0.624,-0.11293
0.626,-0.113035
0.628,-0.113186
0.63,-0.113076
0.632,-0.113138
0.634,-0.113181
0.636,-0.113026
0.638,-0.113077
0.64,-0.113035
0.642,-0.113103
0.644,-0.113104
0.646,-0.113135
0.648,-0.113111
0.65,-0.11309
0.652,-0.11298
0.654,-0.112891
0.656,-0.113157
0.658,-0.113047
0.66,-0.113077
0.662,-0.113065
0.664,-0.112983
0.666,-0.112964
0.668,-0.113016
0.67,-0.113114
0.672,-0.113058
0.674,-0.112947
0.676,-0.113008
0.678,-0.113035
0.68,-0.113062
0.682,-0.112961
0.684,-0.113044
0.686,-0.113099
0.688,-0.113019
0.69,-0.113049
0.692,-0.112943
0.694,-0.113109
0.696,-0.113063
0.698,-0.113106
0.7,-0.113123
0.702,-0.11309
0.704,-0.113019
0.706,-0.113037
0.708,-0.113082
0.71,-0.11307
0.712,-0.113063
0.714,-0.11301
0.716,-0.113044
0.718,-0.11299
0.72,-0.113123
0.722,-0.113104
0.724,-0.11301
0.726,-0.11321
0.728,-0.113079
0.73,-0.112936
0.732,-0.113027
0.734,-0.113002
0.736,-0.113145
0.738,-0.113103
0.74,-0.113088
0.742,-0.113002
0.744,-0.112961
0.746,-0.112941
0.748,-0.113014
0.75,-0.113071
0.752,-0.112949
0.754,-0.113091
0.756,-0.112997
0.758,-0.112996
0.76,-0.113087
0.762,-0.112867
0.764,-0.113115
0.766,-0.113142
0.768,-0.113112
0.77,-0.113143
0.772,-0.112938
0.774,-0.112999
0.776,-0.112975
0.778,-0.113135
0.78,-0.113024
0.782,-0.11304
0.784,-0.112914
0.786,-0.112988
0.788,-0.113043
0.79,-0.11306
0.792,-0.112894
0.794,-0.113143
0.796,-0.112993
0.798,-0.113115
0.8,-0.113124
0.802,-0.112954
0.804,-0.112921
0.806,-0.11291
0.808,-0.113019
0.81,-0.112883
0.812,-0.112954
0.814,-0.113005
0.816,-0.112978
0.818,-0.113041
0.82,-0.112964
0.822,-0.112898
0.824,-0.112982
0.826,-0.113068
0.828,-0.113067
0.83,-0.11313
0.832,-0.112818
0.834,-0.112836
0.836,-0.11285
0.838,-0.112994
0.84,-0.113034
0.842,-0.113043
0.844,-0.113167
0.846,-0.112903
0.848,-0.112951
0.85,-0.112718
0.852,-0.112961
0.854,-0.113068
0.856,-0.113038
0.858,-0.113143
0.86,-0.112958
0.862,-0.112862
0.864,-0.112958
0.866,-0.113031
0.868,-0.113081
0.87,-0.113115
0.872,-0.11299
0.874,-0.112938
0.876,-0.112848
0.878,-0.112902
0.88,-0.112975
0.882,-0.113037
0.884,-0.113073
0.886,-0.113052
0.888,-0.112964
0.89,-0.11299
0.892,-0.112907
0.894,-0.112831
0.896,-0.11296
0.898,-0.112902
0.9,-0.113027
0.902,-0.112921
0.904,-0.11296
0.906,-0.113023
0.908,-0.113065
0.91,-0.112946
0.912,-0.112848
0.914,-0.113047
0.916,-0.112985
0.918,-0.112842
0.92,-0.113032
0.922,-0.113071
0.924,-0.112949
0.926,-0.113029
0.928,-0.112955
0.93,-0.112951
0.932,-0.112894
0.934,-0.112941
0.936,-0.112964
0.938,-0.113021
0.94,-0.113058
0.942,-0.112918
0.944,-0.112913
0.946,-0.112914
0.948,-0.112982
0.95,-0.113004
0.952,-0.112988
0.954,-0.112938
0.956,-0.112996
0.958,-0.112884
0.96,-0.112842
0.962,-0.112969
0.964,-0.112967
0.966,-0.113018
0.968,-0.11301
0.97,-0.112939
0.972,-0.112927
0.974,-0.112931
0.976,-0.113001
0.978,-0.112881
0.98,-0.11314
0.982,-0.11293
0.984,-0.112941
0.986,-0.112994
0.988,-0.112916
0.99,-0.112988
0.992,-0.11293
0.994,-0.112991
0.996,-0.112878
0.998,-0.112842
1,-0.112963
1.002,-0.112996
1.004,-0.112939
1.006,-0.11304
1.008,-0.112795
1.01,-0.11299
1.012,-0.112908
1.014,-0.113005
1.016,-0.113047
1.018,-0.11296
1.02,-0.112914
1.022,-0.112861
1.024,-0.112831
1.026,-0.112905
1.028,-0.112928
1.03,-0.112987
1.032,-0.112774
1.034,-0.113021
1.036,-0.112949
1.038,-0.112872
1.04,-0.113106
1.042,-0.112933
1.044,-0.112952
1.046,-0.112978
1.048,-0.112946
1.05,-0.113011
1.052,-0.112847
1.054,-0.112943
1.056,-0.112823
1.058,-0.112931
1.06,-0.112972
1.062,-0.112941
1.064,-0.113157
1.066,-0.112957
1.068,-0.112732
1.07,-0.112936
1.072,-0.112862
1.074,-0.112897
1.076,-0.113179
1.078,-0.112947
1.08,-0.112862
1.082,-0.112977
1.084,-0.112892
1.086,-0.112862
1.088,-0.112917
1.09,-0.113076
1.092,-0.112859
1.094,-0.112969
1.096,-0.112877
1.098,-0.112957
1.1,-0.112957
1.102,-0.112895
1.104,-0.113027
1.106,-0.113014
1.108,-0.112889
1.11,-0.112952
1.112,-0.112794
1.114,-0.112954
1.116,-0.112911
1.118,-0.113043
1.12,-0.112996
1.122,-0.112913
1.124,-0.112891
1.126,-0.112886
1.128,-0.112954
1.13,-0.113029
1.132,-0.112939
1.134,-0.112993
1.136,-0.113035
1.138,-0.112883
1.14,-0.112883
1.142,-0.112982
1.144,-0.112967
1.146,-0.113011
1.148,-0.113024
1.15,-0.113082
1.152,-0.112822
1.154,-0.112734
1.156,-0.112999
1.158,-0.112999
1.16,-0.113071
1.162,-0.112958
1.164,-0.112936
1.166,-0.112818
1.168,-0.112895
1.17,-0.112872
1.172,-0.113093
1.174,-0.113047
1.176,-0.112999
1.178,-0.112955
1.18,-0.112811
1.182,-0.112806
1.184,-0.112914
1.186,-0.113035
1.188,-0.113151
1.19,-0.113031
1.192,-0.112848
1.194,-0.112815
1.196,-0.112841
1.198,-0.112996
1.2,-0.112975
1.202,-0.113117
1.204,-0.113121
1.206,-0.112828
1.208,-0.112884
1.21,-0.112731
1.212,-0.11285
1.214,-0.113035
1.216,-0.113027
1.218,-0.11298
1.22,-0.11293
1.222,-0.11293
1.224,-0.112903
1.226,-0.112934
1.228,-0.113013
1.23,-0.112874
