LECROYWS42Xs,24809,Waveform
Segments,1,SegmentSize,25001
Segment,TrigTime,TimeSinceSegment1
#1,26-Feb-2003 20:43:47,0                 
Time,Ampl
0,-0.10209
0.002,-0.10769
0.004,-0.107842
0.006,-0.107795
0.008,-0.107767
0.01,-0.107978
0.012,-0.107832
0.014,-0.107847
0.016,-0.107786
0.018,-0.107957
0.02,-0.107833
0.022,-0.10777
0.024,-0.107857
0.026,-0.107806
0.028,-0.107979
0.03,-0.10786
0.032,-0.107871
0.034,-0.107783
0.036,-0.107828
0.038,-0.107957
0.04,-0.107877
0.042,-0.107752
0.044,-0.107817
0.046,-0.10791
0.048,-0.107883
0.05,-0.107817
0.052,-0.10795
0.054,-0.107886
0.056,-0.107883
0.058,-0.10784
0.06,-0.107873
0.062,-0.107925
0.064,-0.107897
0.066,-0.107837
0.068,-0.107902
0.07,-0.107898
0.072,-0.107897
0.074,-0.107724
0.076,-0.107812
0.078,-0.107877
0.08,-0.107843
0.082,-0.107873
0.084,-0.107765
0.086,-0.107653
0.088,-0.107809
0.09,-0.107798
0.092,-0.107919
0.094,-0.107772
0.096,-0.107786
0.098,-0.107831
0.1,-0.107789
0.102,-0.107777
0.104,-0.107803
0.106,-0.107808
0.108,-0.107763
0.11,-0.107802
0.112,-0.107904
0.114,-0.107785
0.116,-0.107822
0.118,-0.107801
0.12,-0.107813
0.122,-0.10785
0.124,-0.107813
0.126,-0.107763
0.128,-0.107825
0.13,-0.107956
0.132,-0.107804
0.134,-0.107774
0.136,-0.107806
0.138,-0.107906
0.14,-0.107948
0.142,-0.10795
0.144,-0.10785
0.146,-0.107877
0.148,-0.107943
0.15,-0.107822
0.152,-0.107837
0.154,-0.1078
0.156,-0.107876
0.158,-0.107827
0.16,-0.107894
0.162,-0.107894
0.164,-0.107752
0.166,-0.107867
0.168,-0.10776
0.17,-0.107853
0.172,-0.107862
0.174,-0.107808
0.176,-0.107731
0.178,-0.107782
0.18,-0.107746
0.182,-0.107783
0.184,-0.107731
0.186,-0.107736
0.188,-0.107776
0.19,-0.10776
0.192,-0.107644
0.194,-0.107695
0.196,-0.107669
0.198,-0.107693
0.2,-0.10773
0.202,-0.107816
0.204,-0.10776
0.206,-0.107778
0.208,-0.107786
0.21,-0.107827
0.212,-0.107712
0.214,-0.107803
0.216,-0.107871
0.218,-0.107813
0.22,-0.107898
0.222,-0.107785
0.224,-0.107781
0.226,-0.107832
0.228,-0.107822
0.23,-0.107973
0.232,-0.107823
0.234,-0.107814
0.236,-0.107768
0.238,-0.107788
0.24,-0.107762
0.242,-0.107704
0.244,-0.107787
0.246,-0.107784
0.248,-0.10781
0.25,-0.107807
0.252,-0.107628
0.254,-0.107696
0.256,-0.107763
0.258,-0.107762
0.26,-0.107657
0.262,-0.107685
0.264,-0.107813
0.266,-0.107628
0.268,-0.107741
0.27,-0.107688
0.272,-0.107705
0.274,-0.107697
0.276,-0.107657
0.278,-0.107672
0.28,-0.107871
0.282,-0.107698
0.284,-0.107847
0.286,-0.107768
0.288,-0.107859
0.29,-0.107723
0.292,-0.107883
0.294,-0.107835
0.296,-0.10765
0.298,-0.107764
0.3,-0.107822
0.302,-0.107791
0.304,-0.107876
0.306,-0.107815
0.308,-0.107831
0.31,-0.107769
0.312,-0.10775
0.314,-0.1078
0.316,-0.107906
0.318,-0.107796
0.32,-0.107639
0.322,-0.107776
0.324,-0.107757
0.326,-0.10788
0.328,-0.107831
0.33,-0.107657
0.332,-0.107809
0.334,-0.107835
0.336,-0.107604
0.338,-0.107646
0.34,-0.107725
0.342,-0.107744
0.344,-0.107752
0.346,-0.107697
0.348,-0.10772
0.35,-0.107582
0.352,-0.107687
0.354,-0.107633
0.356,-0.107534
0.358,-0.107699
0.36,-0.107602
0.362,-0.107512
0.364,-0.107668
0.366,-0.107689
0.368,-0.107737
0.37,-0.107636
0.372,-0.107664
0.374,-0.107829
0.376,-0.107752
0.378,-0.107713
0.38,-0.107641
0.382,-0.107801
0.384,-0.107851
0.386,-0.107749
0.388,-0.107742
0.39,-0.107852
0.392,-0.107819
0.394,-0.107876
0.396,-0.107808
0.398,-0.107703
0.4,-0.107718
0.402,-0.107886
0.404,-0.107724
0.406,-0.107793
0.408,-0.107846
0.41,-0.107721
0.412,-0.107822
0.414,-0.107868
0.416,-0.107787
0.418,-0.107918
0.42,-0.107795
0.422,-0.107731
0.424,-0.107614
0.426,-0.107685
0.428,-0.107771
0.43,-0.107759
0.432,-0.10768
0.434,-0.107714
0.436,-0.107634
0.438,-0.107616
0.44,-0.107564
0.442,-0.107721
0.444,-0.10764
0.446,-0.10766
0.448,-0.107719
0.45,-0.107629
0.452,-0.107652
0.454,-0.107617
0.456,-0.107678
0.458,-0.107521
0.46,-0.107729
0.462,-0.107701
0.464,-0.107623
0.466,-0.107671
0.468,-0.107681
0.47,-0.107773
0.472,-0.107736
0.474,-0.107682
0.476,-0.107714
0.478,-0.107742
0.48,-0.107658
0.482,-0.107772
0.484,-0.10776
0.486,-0.107796
0.488,-0.107706
0.49,-0.107728
0.492,-0.107748
0.494,-0.10766
0.496,-0.107771
0.498,-0.107705
0.5,-0.107742
0.502,-0.107778
0.504,-0.107783
0.506,-0.107803
0.508,-0.107777
0.51,-0.107677
0.512,-0.107774
0.514,-0.10772
0.516,-0.107825
0.518,-0.107711
0.52,-0.107695
0.522,-0.107811
0.524,-0.107689
0.526,-0.107781
0.528,-0.10776
0.53,-0.107714
0.532,-0.107562
0.534,-0.107642
0.536,-0.107713
0.538,-0.107714
0.54,-0.107742
0.542,-0.107636
0.544,-0.10762
0.546,-0.107661
0.548,-0.107673
0.55,-0.107688
0.552,-0.10767
0.554,-0.107726
0.556,-0.107724
0.558,-0.107792
0.56,-0.107659
0.562,-0.107561
0.564,-0.107487
0.566,-0.107736
0.568,-0.107641
0.57,-0.107569
0.572,-0.10758
0.574,-0.107636
0.576,-0.107604
0.578,-0.10761
0.58,-0.107665
0.582,-0.107588
0.584,-0.10768
0.586,-0.107597
0.588,-0.107677
0.59,-0.107662
0.592,-0.107796
0.594,-0.107642
0.596,-0.107621
0.598,-0.107609
0.6,-0.107685
0.602,-0.10769
0.604,-0.107557
0.606,-0.107675
0.608,-0.107575
0.61,-0.107713
0.612,-0.107645
0.614,-0.107629
0.616,-0.107742
0.618,-0.107667
0.62,-0.107643
0.622,-0.107672
0.624,-0.107774
0.626,-0.107723
0.628,-0.10774
0.63,-0.107708
0.632,-0.107791
0.634,-0.107788
0.636,-0.107816
0.638,-0.10777
0.64,-0.107626
0.642,-0.107742
0.644,-0.107703
0.646,-0.107698
0.648,-0.107602
0.65,-0.107562
0.652,-0.107561
0.654,-0.107634
0.656,-0.10766
0.658,-0.107613
0.66,-0.107584
0.662,-0.107525
0.664,-0.107624
0.666,-0.10753
0.668,-0.107581
0.67,-0.107524
0.672,-0.107537
0.674,-0.107481
0.676,-0.107629
0.678,-0.10753
0.68,-0.107435
0.682,-0.1074
0.684,-0.107567
0.686,-0.107553
0.688,-0.10752
0.69,-0.107427
0.692,-0.107431
0.694,-0.107655
0.696,-0.107613
0.698,-0.10757
0.7,-0.107631
0.702,-0.107683
0.704,-0.107593
0.706,-0.107688
0.708,-0.107634
0.71,-0.107602
0.712,-0.107683
0.714,-0.107641
0.716,-0.107714
0.718,-0.107723
0.72,-0.107853
0.722,-0.10761
0.724,-0.107664
0.726,-0.107795
0.728,-0.10771
0.73,-0.107783
0.732,-0.107613
0.734,-0.107634
0.736,-0.107692
0.738,-0.107724
0.74,-0.107686
0.742,-0.107689
0.744,-0.107652
0.746,-0.107591
0.748,-0.107651
0.75,-0.107577
0.752,-0.107536
0.754,-0.107612
0.756,-0.107647
0.758,-0.107608
0.76,-0.107532
0.762,-0.107533
0.764,-0.107501
0.766,-0.10749
0.768,-0.107564
0.77,-0.107606
0.772,-0.10747
0.774,-0.107526
0.776,-0.107433
0.778,-0.107618
0.78,-0.107533
0.782,-0.107396
0.784,-0.107549
0.786,-0.107422
0.788,-0.107691
0.79,-0.107556
0.792,-0.107585
0.794,-0.107485
0.796,-0.10756
0.798,-0.107669
0.8,-0.107572
0.802,-0.107543
0.804,-0.107649
0.806,-0.107728
0.808,-0.107631
0.81,-0.10762
0.812,-0.107537
0.814,-0.107687
0.816,-0.107686
0.818,-0.107646
0.82,-0.107609
0.822,-0.10767
0.824,-0.10767
0.826,-0.107677
0.828,-0.107649
0.83,-0.107561
0.832,-0.107682
0.834,-0.107662
0.836,-0.10745
0.838,-0.10757
0.84,-0.107629
0.842,-0.10757
0.844,-0.107483
0.846,-0.107601
0.848,-0.107719
0.85,-0.107548
0.852,-0.107636
0.854,-0.107534
0.856,-0.107469
0.858,-0.107557
0.86,-0.107561
0.862,-0.107542
0.864,-0.107587
0.866,-0.10755
0.868,-0.107487
0.87,-0.107525
0.872,-0.107529
0.874,-0.107507
0.876,-0.107587
0.878,-0.107566
0.88,-0.107491
0.882,-0.107588
0.884,-0.10759
0.886,-0.107698
0.888,-0.107495
0.89,-0.107546
0.892,-0.107539
0.894,-0.107583
0.896,-0.107601
0.898,-0.107499
0.9,-0.107589
0.902,-0.107592
0.904,-0.107534
0.906,-0.107604
0.908,-0.107691
0.91,-0.10755
0.912,-0.107519
0.914,-0.107541
0.916,-0.107659
0.918,-0.107581
0.92,-0.107554
0.922,-0.107514
0.924,-0.107609
0.926,-0.107627
0.928,-0.107572
0.93,-0.1075
0.932,-0.107541
0.934,-0.107623
0.936,-0.107496
0.938,-0.107439
0.94,-0.107544
0.942,-0.107492
0.944,-0.107619
0.946,-0.107569
0.948,-0.107546
0.95,-0.107578
0.952,-0.107713
0.954,-0.107591
0.956,-0.107534
0.958,-0.107567
0.96,-0.107672
0.962,-0.107604
0.964,-0.107519
0.966,-0.107625
0.968,-0.107595
0.97,-0.107703
0.972,-0.10752
0.974,-0.107637
0.976,-0.107614
0.978,-0.10759
0.98,-0.107585
0.982,-0.107469
0.984,-0.107594
0.986,-0.107611
0.988,-0.107552
0.99,-0.107478
0.992,-0.107471
0.994,-0.107629
0.996,-0.107606
0.998,-0.107581
1,-0.107531
1.002,-0.107572
1.004,-0.107497
1.006,-0.107582
1.008,-0.107455
1.01,-0.107564
1.012,-0.107424
1.014,-0.107631
1.016,-0.107487
1.018,-0.107434
1.02,-0.107507
1.022,-0.10746
1.024,-0.107502
1.026,-0.107502
1.028,-0.107651
1.03,-0.10754
1.032,-0.107474
1.034,-0.107596
1.036,-0.107551
1.038,-0.107601
1.04,-0.107469
1.042,-0.10756
1.044,-0.107531
1.046,-0.107678
1.048,-0.107629
1.05,-0.107663
1.052,-0.107555
1.054,-0.10779
1.056,-0.107639
1.058,-0.107656
1.06,-0.107664
1.062,-0.107606
1.064,-0.107727
1.066,-0.107601
1.068,-0.107689
1.07,-0.107585
1.072,-0.107587
1.074,-0.107778
1.076,-0.107615
1.078,-0.107644
1.08,-0.107626
1.082,-0.107556
1.084,-0.107678
1.086,-0.107454
1.088,-0.107549
1.09,-0.107524
1.092,-0.107562
1.094,-0.107523
1.096,-0.10756
1.098,-0.107521
1.1,-0.107542
1.102,-0.107497
1.104,-0.107576
1.106,-0.107477
1.108,-0.107466
1.11,-0.107447
1.112,-0.107402
1.114,-0.107551
1.116,-0.107459
1.118,-0.107479
1.12,-0.107485
1.122,-0.107492
1.124,-0.107528
1.126,-0.107573
1.128,-0.107467
1.13,-0.107616
1.132,-0.107645
1.134,-0.107611
1.136,-0.107572
1.138,-0.107592
1.14,-0.10762
1.142,-0.107711
1.144,-0.107603
1.146,-0.1076
1.148,-0.107731
1.15,-0.107622
1.152,-0.107771
1.154,-0.107708
1.156,-0.107567
1.158,-0.10766
1.16,-0.107743
1.162,-0.107621
1.164,-0.107711
1.166,-0.107602
1.168,-0.10775
1.17,-0.107584
1.172,-0.107569
1.174,-0.107731
1.176,-0.10759
1.178,-0.107762
1.18,-0.107624
1.182,-0.107579
1.184,-0.107737
1.186,-0.107623
1.188,-0.107639
1.19,-0.107616
1.192,-0.107762
1.194,-0.10766
1.196,-0.107487
1.198,-0.107627
1.2,-0.107644
1.202,-0.107572
1.204,-0.107466
1.206,-0.107562
1.208,-0.107419
1.21,-0.10757
1.212,-0.107549
1.214,-0.107477
1.216,-0.107567
1.218,-0.107584
1.22,-0.107557
1.222,-0.107598
1.224,-0.107582
1.226,-0.107584
1.228,-0.107684
1.23,-0.107506
1.232,-0.107591
1.234,-0.107583
1.236,-0.107626
1.238,-0.107558
1.24,-0.107609
1.242,-0.107652
1.244,-0.107705
1.246,-0.107596
1.248,-0.107598
1.25,-0.107585
1.252,-0.107566
1.254,-0.107703
1.256,-0.107642
1.258,-0.107657
1.26,-0.107589
1.262,-0.107705
1.264,-0.107646
1.266,-0.10751
1.268,-0.107523
1.27,-0.107525
1.272,-0.107696
1.274,-0.107501
1.276,-0.107543
1.278,-0.107651
1.28,-0.107613
1.282,-0.107547
1.284,-0.107582
1.286,-0.107623
1.288,-0.107698
1.29,-0.107637
1.292,-0.107606
1.294,-0.107663
1.296,-0.107585
1.298,-0.107575
1.3,-0.10762
1.302,-0.107588
1.304,-0.107687
1.306,-0.107568
1.308,-0.107513
1.31,-0.107446
1.312,-0.107607
1.314,-0.107617
1.316,-0.107618
1.318,-0.107507
1.32,-0.107561
1.322,-0.107534
1.324,-0.107628
1.326,-0.107538
1.328,-0.107499
1.33,-0.107472
1.332,-0.107541
1.334,-0.107507
1.336,-0.107512
1.338,-0.107574
1.34,-0.107458
1.342,-0.107571
1.344,-0.107543
1.346,-0.107526
1.348,-0.107601
1.35,-0.107499
1.352,-0.107605
1.354,-0.107521
1.356,-0.107534
1.358,-0.107561
1.36,-0.107544
1.362,-0.107592
1.364,-0.107539
1.366,-0.107642
1.368,-0.107546
1.37,-0.107437
1.372,-0.107619
1.374,-0.107639
1.376,-0.10749
1.378,-0.107544
1.38,-0.107549
1.382,-0.107665
1.384,-0.107582
1.386,-0.107577
1.388,-0.107574
1.39,-0.107586
1.392,-0.107671
1.394,-0.107599
1.396,-0.10754
1.398,-0.107598
1.4,-0.107595
1.402,-0.107593
1.404,-0.107594
1.406,-0.10767
1.408,-0.107556
1.41,-0.107564
1.412,-0.107538
1.414,-0.107592
1.416,-0.107586
1.418,-0.107607
1.42,-0.107471
1.422,-0.107496
1.424,-0.10747
1.426,-0.107513
1.428,-0.107507
1.43,-0.107459
1.432,-0.107467
1.434,-0.107606
1.436,-0.107515
1.438,-0.107428
1.44,-0.107431
1.442,-0.10751
1.444,-0.107587
1.446,-0.107457
1.448,-0.107445
1.45,-0.107453
1.452,-0.107513
1.454,-0.107514
1.456,-0.107458
1.458,-0.107453
1.46,-0.107518
1.462,-0.107525
1.464,-0.107469
1.466,-0.107445
1.468,-0.107604
1.47,-0.10761
1.472,-0.107515
1.474,-0.107504
1.476,-0.107626
1.478,-0.107554
1.48,-0.107528
1.482,-0.107536
1.484,-0.107543
1.486,-0.107526
1.488,-0.107646
1.49,-0.107481
1.492,-0.107471
1.494,-0.107548
1.496,-0.107528
1.498,-0.107454
1.5,-0.107433
1.502,-0.107557
1.504,-0.107513
1.506,-0.107478
1.508,-0.107459
1.51,-0.107562
1.512,-0.107605
1.514,-0.107594
1.516,-0.107511
1.518,-0.107459
1.52,-0.107539
1.522,-0.107533
1.524,-0.107517
1.526,-0.107407
1.528,-0.107476
1.53,-0.10753
1.532,-0.107466
1.534,-0.107369
1.536,-0.107428
1.538,-0.107543
1.54,-0.107324
1.542,-0.107458
1.544,-0.107499
1.546,-0.107538
1.548,-0.107415
1.55,-0.10737
1.552,-0.107469
1.554,-0.107631
1.556,-0.10741
1.558,-0.107394
1.56,-0.107404
1.562,-0.107572
1.564,-0.107489
1.566,-0.107455
1.568,-0.107423
1.57,-0.107522
1.572,-0.107404
1.574,-0.107356
1.576,-0.107328
1.578,-0.107473
1.58,-0.10756
1.582,-0.107577
1.584,-0.107553
1.586,-0.107389
1.588,-0.10764
1.59,-0.107466
1.592,-0.107467
1.594,-0.107519
1.596,-0.107537
1.598,-0.107564
1.6,-0.107382
1.602,-0.107392
1.604,-0.10753
1.606,-0.107585
1.608,-0.107528
1.61,-0.107387
1.612,-0.107393
1.614,-0.107537
1.616,-0.107449
1.618,-0.107346
1.62,-0.107376
1.622,-0.10758
1.624,-0.107484
1.626,-0.107386
1.628,-0.107402
1.63,-0.107445
1.632,-0.107586
1.634,-0.107534
1.636,-0.107338
1.638,-0.107428
1.64,-0.107556
1.642,-0.107659
1.644,-0.107351
1.646,-0.10743
1.648,-0.107565
1.65,-0.107518
1.652,-0.107351
1.654,-0.107445
1.656,-0.107556
1.658,-0.107394
1.66,-0.107446
1.662,-0.107441
1.664,-0.107533
1.666,-0.10749
1.668,-0.107353
1.67,-0.107386
1.672,-0.107494
1.674,-0.107453
1.676,-0.107406
1.678,-0.107412
1.68,-0.107327
1.682,-0.10752
1.684,-0.107436
1.686,-0.107246
1.688,-0.107378
1.69,-0.107523
1.692,-0.107639
1.694,-0.107285
