,0
0,-1.9999030333333334
1,-1.9997030333333339
2,-1.999503033333334
3,-1.9993030333333337
4,-1.999103033333334
5,-1.9989030333333326
6,-1.998703033333333
7,-1.9985030333333327
8,-1.9983030333333331
9,-1.9981030333333332
10,-1.9979030333333336
11,-1.997703033333333
12,-1.997503033333334
13,-1.9973030333333333
14,-1.9971030333333333
15,-1.9969030333333333
16,-1.9967030333333338
17,-1.9965030333333338
18,-1.9963030333333338
19,-1.996103033333334
20,-1.9959030333333325
21,-1.995703033333333
22,-1.9955030333333326
23,-1.9953030333333328
24,-1.995103033333333
25,-1.9949030333333335
26,-1.9947030333333329
27,-1.9945030333333338
28,-1.9943030333333334
29,-1.9941030333333336
30,-1.9939030333333332
31,-1.9937030333333337
32,-1.9935030333333337
33,-1.9933030333333337
34,-1.9931030333333342
35,-1.992903033333333
36,-1.9927030333333333
37,-1.9925030333333325
38,-1.9923030333333331
39,-1.9921030333333332
40,-1.9919030333333334
41,-1.991703033333333
42,-1.9915030333333337
43,-1.9913030333333332
44,-1.9911030333333337
45,-1.9909030333333333
46,-1.9907030333333335
47,-1.9905030333333338
48,-1.9903030333333338
49,-1.990103033333334
50,-1.9899030333333332
51,-1.9897030333333334
52,-1.9895030333333323
53,-1.989303033333333
54,-1.989103033333333
55,-1.9889030333333333
56,-1.988703033333333
57,-1.9885030333333336
58,-1.9883030333333331
59,-1.9881030333333336
60,-1.9879030333333332
61,-1.9877030333333334
62,-1.9875030333333337
63,-1.9873030333333337
64,-1.987103033333334
65,-1.9869030333333337
66,-1.9867030333333333
67,-1.9865030333333322
68,-1.986303033333333
69,-1.986103033333333
70,-1.9859030333333332
71,-1.9857030333333332
72,-1.9855030333333337
73,-1.9853030333333332
74,-1.9851030333333335
75,-1.9849030333333333
76,-1.9847030333333333
77,-1.9845030333333336
78,-1.9843030333333338
79,-1.9841030333333338
80,-1.9839030333333336
81,-1.9837030333333339
82,-1.983503033333332
83,-1.983303033333333
84,-1.9831030333333328
85,-1.982903033333333
86,-1.9827030333333333
87,-1.9825030333333336
88,-1.9823030333333331
89,-1.9821030333333336
90,-1.9819030333333332
91,-1.9817030333333334
92,-1.9815030333333334
93,-1.9813030333333337
94,-1.9811030333333337
95,-1.980903033333334
96,-1.980703033333334
97,-1.9805030333333322
98,-1.980303033333333
99,-1.980103033333333
100,-1.9799030333333332
101,-1.979703033333333
102,-1.9795030333333337
103,-1.979303033333333
104,-1.9791030333333337
105,-1.978903033333333
106,-1.9787030333333335
107,-1.9785030333333335
108,-1.9783030333333336
109,-1.978103033333334
110,-1.9779030333333338
111,-1.9777030333333336
112,-1.977503033333332
113,-1.9773030333333332
114,-1.9771030333333326
115,-1.976903033333333
116,-1.9767030333333333
117,-1.9765030333333335
118,-1.9763030333333331
119,-1.9761030333333336
120,-1.9759030333333334
121,-1.9757030333333334
122,-1.9755030333333334
123,-1.975303033333334
124,-1.975103033333334
125,-1.974903033333334
126,-1.9747030333333342
127,-1.9745030333333322
128,-1.9743030333333331
129,-1.9741030333333327
130,-1.973903033333333
131,-1.9737030333333332
132,-1.9735030333333337
133,-1.973303033333333
134,-1.9731030333333337
135,-1.9729030333333333
136,-1.9727030333333333
137,-1.9725030333333333
138,-1.9723030333333338
139,-1.9721030333333338
140,-1.9719030333333338
141,-1.971703033333334
142,-1.9715030333333325
143,-1.9713030333333335
144,-1.9711030333333326
145,-1.970903033333333
146,-1.970703033333333
147,-1.9705030333333335
148,-1.970303033333333
149,-1.9701030333333338
150,-1.9699030333333334
151,-1.9697030333333332
152,-1.9695030333333332
153,-1.9693030333333337
154,-1.9691030333333337
155,-1.9689030333333337
156,-1.968703033333334
157,-1.9685030333333329
158,-1.968303033333333
159,-1.9681030333333325
160,-1.9679030333333332
161,-1.9677030333333332
162,-1.9675030333333334
163,-1.9673030333333332
164,-1.9671030333333337
165,-1.9669030333333333
166,-1.9667030333333337
167,-1.9665030333333333
168,-1.9663030333333336
169,-1.9661030333333338
170,-1.9659030333333336
171,-1.965703033333334
172,-1.965503033333333
173,-1.9653030333333334
174,-1.9651030333333324
175,-1.964903033333333
176,-1.964703033333333
177,-1.9645030333333333
178,-1.964303033333333
179,-1.9641030333333336
180,-1.9639030333333332
181,-1.9637030333333336
182,-1.9635030333333332
183,-1.9633030333333334
184,-1.9631030333333337
185,-1.9629030333333337
186,-1.962703033333334
187,-1.9625030333333338
188,-1.9623030333333333
189,-1.9621030333333322
190,-1.961903033333333
191,-1.961703033333333
192,-1.9615030333333332
193,-1.9613030333333332
194,-1.9611030333333335
195,-1.9609030333333333
196,-1.9607030333333335
197,-1.9605030333333333
198,-1.9603030333333333
199,-1.9601030333333336
200,-1.9599030333333338
201,-1.9597030333333338
202,-1.959503033333334
203,-1.9593030333333337
204,-1.9591030333333321
205,-1.958903033333333
206,-1.9587030333333328
207,-1.958503033333333
208,-1.958303033333333
209,-1.9581030333333336
210,-1.9579030333333332
211,-1.9577030333333336
212,-1.9575030333333332
213,-1.9573030333333332
214,-1.9571030333333335
215,-1.9569030333333337
216,-1.9567030333333337
217,-1.9565030333333335
218,-1.9563030333333338
219,-1.9561030333333322
220,-1.955903033333333
221,-1.9557030333333327
222,-1.9555030333333332
223,-1.9553030333333332
224,-1.9551030333333337
225,-1.954903033333333
226,-1.9547030333333337
227,-1.954503033333333
228,-1.9543030333333336
229,-1.9541030333333336
230,-1.9539030333333336
231,-1.9537030333333336
232,-1.953503033333334
233,-1.9533030333333339
234,-1.9531030333333321
235,-1.9529030333333333
236,-1.9527030333333328
237,-1.952503033333333
238,-1.952303033333333
239,-1.9521030333333336
240,-1.951903033333333
241,-1.9517030333333338
242,-1.9515030333333334
243,-1.9513030333333334
244,-1.9511030333333335
245,-1.950903033333334
246,-1.950703033333334
247,-1.9505030333333337
248,-1.950303033333334
249,-1.950103033333332
250,-1.9499030333333331
251,-1.9497030333333327
252,-1.9495030333333332
253,-1.9493030333333332
254,-1.9491030333333337
255,-1.948903033333333
256,-1.948703033333334
257,-1.9485030333333333
258,-1.9483030333333333
259,-1.9481030333333333
260,-1.9479030333333338
261,-1.9477030333333338
