,0
0,-1.999901036666666
1,-1.999701036666667
2,-1.9995010366666661
3,-1.999301036666667
4,-1.999101036666666
5,-1.9989010366666666
6,-1.9987010366666664
7,-1.9985010366666678
8,-1.9983010366666667
9,-1.9981010366666665
10,-1.9979010366666679
11,-1.9977010366666654
12,-1.997501036666667
13,-1.9973010366666655
14,-1.9971010366666675
15,-1.9969010366666669
16,-1.9967010366666678
17,-1.9965010366666673
18,-1.9963010366666658
19,-1.996101036666667
20,-1.9959010366666654
21,-1.9957010366666683
22,-1.9955010366666648
23,-1.9953010366666668
24,-1.995101036666667
25,-1.9949010366666664
26,-1.9947010366666673
27,-1.9945010366666667
28,-1.9943010366666665
29,-1.9941010366666652
30,-1.9939010366666674
31,-1.9937010366666656
32,-1.9935010366666681
33,-1.993301036666667
34,-1.9931010366666657
35,-1.992901036666667
36,-1.9927010366666662
37,-1.9925010366666671
38,-1.9923010366666665
39,-1.9921010366666672
40,-1.9919010366666665
41,-1.991701036666667
42,-1.9915010366666672
43,-1.9913010366666664
44,-1.9911010366666675
45,-1.9909010366666655
46,-1.9907010366666673
47,-1.9905010366666658
48,-1.9903010366666665
49,-1.9901010366666667
50,-1.9899010366666667
51,-1.9897010366666663
52,-1.9895010366666661
53,-1.9893010366666672
54,-1.9891010366666657
55,-1.9889010366666677
56,-1.9887010366666655
57,-1.9885010366666664
58,-1.9883010366666667
59,-1.9881010366666674
60,-1.9879010366666663
61,-1.9877010366666659
62,-1.987501036666667
63,-1.9873010366666657
64,-1.987101036666668
65,-1.986901036666665
66,-1.986701036666667
67,-1.9865010366666676
68,-1.9863010366666662
69,-1.9861010366666672
70,-1.985901036666667
71,-1.9857010366666672
72,-1.9855010366666659
73,-1.9853010366666675
74,-1.985101036666666
75,-1.9849010366666675
76,-1.9847010366666673
77,-1.9845010366666656
78,-1.9843010366666662
79,-1.9841010366666665
80,-1.9839010366666665
81,-1.9837010366666663
82,-1.9835010366666666
83,-1.983301036666666
84,-1.9831010366666673
85,-1.9829010366666664
86,-1.9827010366666669
87,-1.9825010366666678
88,-1.9823010366666658
89,-1.9821010366666674
90,-1.9819010366666654
91,-1.981701036666667
92,-1.9815010366666668
93,-1.981301036666668
94,-1.9811010366666664
95,-1.980901036666666
96,-1.9807010366666669
97,-1.9805010366666655
98,-1.9803010366666687
99,-1.9801010366666654
100,-1.9799010366666672
101,-1.979701036666667
102,-1.9795010366666668
103,-1.9793010366666672
104,-1.979101036666667
105,-1.9789010366666666
106,-1.9787010366666655
107,-1.9785010366666678
108,-1.9783010366666656
109,-1.978101036666668
110,-1.9779010366666672
111,-1.977701036666666
112,-1.9775010366666668
113,-1.9773010366666666
114,-1.9771010366666666
115,-1.9769010366666657
116,-1.9767010366666675
117,-1.9765010366666653
118,-1.9763010366666673
119,-1.9761010366666671
120,-1.9759010366666667
121,-1.9757010366666667
122,-1.9755010366666663
123,-1.9753010366666677
124,-1.9751010366666655
125,-1.9749010366666673
126,-1.9747010366666666
127,-1.974501036666667
128,-1.9743010366666667
129,-1.9741010366666667
130,-1.973901036666667
131,-1.9737010366666656
132,-1.973501036666668
133,-1.9733010366666657
134,-1.9731010366666668
135,-1.9729010366666664
136,-1.9727010366666677
137,-1.9725010366666664
138,-1.9723010366666653
139,-1.9721010366666671
140,-1.971901036666666
141,-1.9717010366666685
142,-1.9715010366666645
143,-1.9713010366666674
144,-1.9711010366666677
145,-1.9709010366666662
146,-1.9707010366666673
147,-1.970501036666667
148,-1.970301036666667
149,-1.9701010366666656
150,-1.9699010366666678
151,-1.9697010366666658
152,-1.9695010366666679
153,-1.9693010366666677
154,-1.969101036666666
155,-1.9689010366666662
156,-1.9687010366666664
157,-1.9685010366666669
158,-1.9683010366666664
159,-1.9681010366666665
160,-1.9679010366666656
161,-1.9677010366666672
162,-1.9675010366666663
163,-1.9673010366666668
164,-1.967101036666668
165,-1.9669010366666657
166,-1.9667010366666666
167,-1.9665010366666649
168,-1.9663010366666667
169,-1.966101036666667
170,-1.9659010366666674
171,-1.9657010366666667
172,-1.9655010366666663
173,-1.9653010366666668
174,-1.965101036666666
175,-1.964901036666668
176,-1.9647010366666655
177,-1.964501036666667
178,-1.9643010366666667
179,-1.9641010366666676
180,-1.963901036666667
181,-1.9637010366666667
182,-1.9635010366666665
183,-1.9633010366666657
184,-1.9631010366666677
185,-1.9629010366666655
186,-1.9627010366666673
187,-1.9625010366666675
188,-1.9623010366666662
189,-1.9621010366666667
190,-1.9619010366666665
191,-1.9617010366666667
192,-1.9615010366666654
193,-1.961301036666667
194,-1.9611010366666652
195,-1.9609010366666675
196,-1.9607010366666675
197,-1.9605010366666662
198,-1.9603010366666669
199,-1.9601010366666662
200,-1.9599010366666672
201,-1.9597010366666658
202,-1.9595010366666668
203,-1.959301036666666
204,-1.9591010366666672
205,-1.9589010366666666
206,-1.9587010366666664
207,-1.9585010366666677
208,-1.958301036666666
209,-1.958101036666667
210,-1.9579010366666656
211,-1.957701036666667
212,-1.9575010366666667
213,-1.9573010366666677
214,-1.957101036666667
215,-1.9569010366666653
216,-1.9567010366666666
217,-1.9565010366666662
218,-1.9563010366666682
219,-1.9561010366666642
220,-1.9559010366666667
221,-1.9557010366666676
222,-1.9555010366666665
223,-1.9553010366666677
224,-1.955101036666667
225,-1.9549010366666668
226,-1.954701036666665
227,-1.9545010366666675
228,-1.9543010366666658
229,-1.9541010366666676
230,-1.953901036666668
231,-1.953701036666666
232,-1.953501036666667
233,-1.9533010366666663
234,-1.9531010366666666
235,-1.9529010366666664
236,-1.9527010366666666
237,-1.952501036666666
238,-1.9523010366666675
239,-1.9521010366666673
240,-1.951901036666667
241,-1.9517010366666678
242,-1.951501036666666
243,-1.9513010366666668
244,-1.9511010366666652
245,-1.950901036666666
246,-1.9507010366666668
247,-1.950501036666667
248,-1.950301036666667
249,-1.9501010366666662
250,-1.9499010366666671
251,-1.9497010366666658
252,-1.9495010366666676
253,-1.9493010366666654
254,-1.9491010366666663
255,-1.9489010366666666
256,-1.948701036666668
257,-1.9485010366666669
258,-1.948301036666666
259,-1.9481010366666665
260,-1.9479010366666656
261,-1.9477010366666676
262,-1.9475010366666652
263,-1.9473010366666672
264,-1.947101036666668
265,-1.9469010366666666
266,-1.9467010366666675
267,-1.9465010366666664
268,-1.9463010366666667
269,-1.9461010366666653
270,-1.945901036666667
271,-1.9457010366666654
272,-1.9455010366666674
273,-1.9453010366666679
274,-1.945101036666666
275,-1.9449010366666672
276,-1.9447010366666662
277,-1.944501036666667
278,-1.9443010366666658
279,-1.9441010366666667
280,-1.9439010366666662
281,-1.9437010366666676
282,-1.943501036666667
283,-1.9433010366666663
284,-1.9431010366666677
285,-1.9429010366666655
286,-1.9427010366666668
287,-1.9425010366666655
288,-1.9423010366666669
289,-1.9421010366666671
290,-1.9419010366666685
291,-1.9417010366666678
292,-1.9415010366666656
293,-1.941301036666667
294,-1.9411010366666657
295,-1.9409010366666681
296,-1.9407010366666646
297,-1.9405010366666662
298,-1.9403010366666675
299,-1.940101036666667
300,-1.939901036666668
301,-1.939701036666667
302,-1.9395010366666663
303,-1.9393010366666648
304,-1.9391010366666672
305,-1.9389010366666655
306,-1.938701036666668
307,-1.9385010366666682
308,-1.938301036666666
309,-1.9381010366666669
310,-1.9379010366666667
311,-1.9377010366666665
312,-1.9375010366666663
313,-1.9373010366666665
314,-1.9371010366666663
315,-1.936901036666668
316,-1.9367010366666677
317,-1.9365010366666668
318,-1.9363010366666673
319,-1.936101036666666
320,-1.9359010366666667
321,-1.9357010366666654
322,-1.9355010366666663
323,-1.9353010366666665
324,-1.9351010366666674
325,-1.9349010366666672
326,-1.9347010366666662
327,-1.934501036666667
328,-1.9343010366666655
329,-1.9341010366666667
330,-1.9339010366666654
331,-1.9337010366666663
332,-1.933501036666667
333,-1.9333010366666679
334,-1.9331010366666672
335,-1.9329010366666652
336,-1.9327010366666668
337,-1.9325010366666655
338,-1.9323010366666677
339,-1.9321010366666649
340,-1.9319010366666673
341,-1.9317010366666683
342,-1.9315010366666665
343,-1.9313010366666674
344,-1.9311010366666665
345,-1.9309010366666666
346,-1.930701036666665
347,-1.9305010366666673
348,-1.9303010366666657
349,-1.9301010366666682
350,-1.9299010366666682
351,-1.9297010366666663
352,-1.9295010366666665
353,-1.9293010366666659
354,-1.9291010366666668
355,-1.9289010366666661
356,-1.9287010366666664
357,-1.9285010366666662
358,-1.9283010366666682
359,-1.9281010366666673
360,-1.9279010366666667
361,-1.9277010366666674
362,-1.9275010366666658
363,-1.9273010366666665
364,-1.9271010366666652
365,-1.9269010366666668
366,-1.926701036666667
367,-1.9265010366666684
368,-1.9263010366666675
369,-1.9261010366666658
370,-1.9259010366666671
371,-1.9257010366666654
372,-1.925501036666668
373,-1.925301036666665
374,-1.9251010366666665
375,-1.9249010366666675
376,-1.9247010366666677
377,-1.924501036666667
378,-1.9243010366666669
379,-1.924101036666666
380,-1.9239010366666647
381,-1.9237010366666667
382,-1.9235010366666654
383,-1.9233010366666679
384,-1.923101036666668
385,-1.9229010366666663
386,-1.9227010366666666
387,-1.9225010366666664
388,-1.9223010366666669
389,-1.9221010366666655
390,-1.9219010366666665
391,-1.9217010366666658
392,-1.9215010366666676
393,-1.921301036666668
394,-1.9211010366666665
395,-1.920901036666667
396,-1.9207010366666657
397,-1.9205010366666666
398,-1.9203010366666657
399,-1.9201010366666662
400,-1.919901036666667
401,-1.9197010366666678
402,-1.9195010366666672
403,-1.9193010366666663
404,-1.9191010366666672
405,-1.9189010366666654
406,-1.9187010366666668
407,-1.9185010366666657
408,-1.9183010366666664
409,-1.9181010366666673
410,-1.9179010366666682
411,-1.9177010366666674
412,-1.9175010366666656
413,-1.9173010366666665
414,-1.9171010366666656
415,-1.9169010366666681
416,-1.9167010366666644
417,-1.9165010366666668
418,-1.9163010366666682
419,-1.9161010366666669
420,-1.9159010366666673
421,-1.915701036666667
422,-1.9155010366666667
423,-1.9153010366666654
424,-1.9151010366666674
425,-1.9149010366666657
426,-1.9147010366666681
427,-1.9145010366666684
428,-1.9143010366666662
429,-1.9141010366666664
430,-1.9139010366666662
431,-1.9137010366666667
432,-1.9135010366666663
433,-1.9133010366666663
434,-1.9131010366666654
435,-1.9129010366666679
436,-1.9127010366666668
437,-1.9125010366666666
438,-1.9123010366666677
439,-1.9121010366666655
440,-1.9119010366666664
441,-1.9117010366666651
442,-1.911501036666666
443,-1.9113010366666674
444,-1.911101036666668
445,-1.9109010366666674
446,-1.9107010366666661
447,-1.910501036666667
448,-1.9103010366666653
449,-1.9101010366666682
450,-1.9099010366666653
451,-1.9097010366666667
452,-1.9095010366666678
453,-1.9093010366666676
454,-1.9091010366666674
455,-1.9089010366666666
456,-1.908701036666666
457,-1.908501036666665
458,-1.9083010366666675
459,-1.9081010366666653
460,-1.9079010366666675
461,-1.907701036666668
462,-1.9075010366666663
463,-1.907301036666667
464,-1.9071010366666659
465,-1.906901036666666
466,-1.9067010366666652
467,-1.9065010366666673
468,-1.906301036666665
469,-1.906101036666668
470,-1.9059010366666682
471,-1.9057010366666665
472,-1.9055010366666667
473,-1.9053010366666654
474,-1.9051010366666674
475,-1.9049010366666657
476,-1.904701036666667
477,-1.9045010366666673
478,-1.9043010366666677
479,-1.9041010366666675
480,-1.9039010366666662
481,-1.9037010366666676
482,-1.903501036666665
483,-1.9033010366666672
484,-1.9031010366666659
485,-1.9029010366666663
486,-1.9027010366666672
487,-1.9025010366666681
488,-1.9023010366666673
489,-1.902101036666665
490,-1.9019010366666669
491,-1.901701036666666
492,-1.9015010366666685
493,-1.9013010366666647
494,-1.9011010366666667
495,-1.9009010366666685
496,-1.9007010366666668
497,-1.900501036666667
498,-1.9003010366666668
499,-1.9001010366666666
500,-1.8999010366666653
501,-1.8997010366666673
502,-1.8995010366666656
503,-1.899301036666668
504,-1.8991010366666683
505,-1.898901036666666
506,-1.8987010366666663
507,-1.8985010366666657
508,-1.8983010366666668
509,-1.8981010366666666
510,-1.8979010366666667
511,-1.8977010366666658
512,-1.8975010366666678
513,-1.8973010366666676
514,-1.8971010366666667
515,-1.8969010366666677
516,-1.8967010366666655
517,-1.8965010366666666
518,-1.896301036666665
519,-1.8961010366666662
520,-1.8959010366666673
521,-1.8957010366666676
522,-1.8955010366666674
523,-1.8953010366666656
524,-1.895101036666667
525,-1.8949010366666657
526,-1.8947010366666677
527,-1.8945010366666657
528,-1.8943010366666666
529,-1.8941010366666675
530,-1.8939010366666678
531,-1.8937010366666671
532,-1.8935010366666662
533,-1.893301036666666
534,-1.8931010366666654
535,-1.8929010366666674
536,-1.8927010366666654
537,-1.892501036666667
538,-1.892301036666668
539,-1.892101036666666
540,-1.8919010366666669
541,-1.8917010366666662
542,-1.891501036666666
543,-1.8913010366666656
544,-1.8911010366666672
545,-1.8909010366666654
546,-1.8907010366666677
547,-1.8905010366666681
548,-1.8903010366666662
549,-1.8901010366666666
550,-1.8899010366666658
551,-1.889701036666667
552,-1.8895010366666665
553,-1.889301036666667
554,-1.8891010366666663
555,-1.888901036666668
556,-1.8887010366666674
557,-1.8885010366666661
558,-1.8883010366666675
559,-1.8881010366666653
560,-1.8879010366666666
561,-1.8877010366666658
562,-1.8875010366666667
563,-1.8873010366666676
564,-1.8871010366666683
565,-1.8869010366666676
566,-1.8867010366666652
567,-1.8865010366666668
568,-1.886301036666665
569,-1.8861010366666684
570,-1.8859010366666646
571,-1.8857010366666658
572,-1.8855010366666682
573,-1.8853010366666667
574,-1.8851010366666678
575,-1.8849010366666668
576,-1.884701036666666
577,-1.8845010366666648
578,-1.8843010366666677
579,-1.8841010366666653
580,-1.883901036666668
581,-1.8837010366666682
582,-1.8835010366666662
583,-1.8833010366666667
584,-1.8831010366666658
585,-1.8829010366666663
586,-1.882701036666666
587,-1.882501036666667
588,-1.8823010366666661
